,concepts,answers,hyes,hno,example_num,obj
0,hg13,False,8,16,1,medium blue triangle
1,hg13,False,11,13,2,large blue rectangle
2,hg13,False,11,13,3,large yellow triangle
3,hg13,False,13,11,4,medium yellow rectangle
4,hg13,False,12,12,5,large yellow rectangle
5,hg13,False,10,14,6,medium green rectangle
6,hg13,True,14,10,7,medium green circle
7,hg13,False,10,14,8,medium blue circle
8,hg13,False,2,22,9,large yellow triangle
9,hg13,False,2,22,10,small yellow rectangle
10,hg13,False,6,17,11,large blue circle
11,hg13,False,2,21,12,small green rectangle
12,hg13,False,3,20,13,medium blue rectangle
13,hg13,False,3,20,14,large green rectangle
14,hg13,False,3,20,15,small yellow rectangle
15,hg13,False,2,21,16,large green rectangle
16,hg13,False,0,23,17,small yellow rectangle
17,hg13,False,3,20,18,medium blue circle
18,hg13,False,2,21,19,medium blue rectangle
19,hg13,False,1,22,20,large yellow triangle
20,hg13,True,2,21,21,large yellow circle
21,hg13,False,2,21,22,medium green triangle
22,hg13,False,2,21,23,large blue rectangle
23,hg13,False,1,22,24,medium yellow rectangle
24,hg13,False,2,21,25,large yellow triangle
25,hg13,False,1,22,26,small yellow triangle
26,hg13,False,1,22,27,medium green rectangle
27,hg13,True,15,8,28,medium yellow circle
28,hg13,False,1,22,29,medium blue triangle
29,hg13,False,0,23,30,medium blue rectangle
30,hg13,False,0,23,31,large green rectangle
31,hg13,False,2,21,32,small yellow triangle
32,hg13,False,1,22,33,large blue triangle
33,hg13,False,2,21,34,small blue triangle
34,hg13,True,18,5,35,small yellow circle
35,hg13,False,1,22,36,small blue triangle
36,hg13,True,21,2,37,small yellow circle
37,hg13,False,0,23,38,large green triangle
38,hg13,False,2,21,39,small yellow triangle
39,hg13,False,1,22,40,medium yellow rectangle
40,hg13,True,20,3,41,large green circle
41,hg13,False,0,23,42,medium green rectangle
42,hg13,True,23,0,43,large yellow circle
43,hg13,True,20,3,44,small yellow circle
44,hg13,False,2,21,45,medium green triangle
45,hg13,False,0,23,46,small green rectangle
46,hg13,False,1,22,47,small blue triangle
47,hg13,False,0,23,48,large blue triangle
48,hg13,False,0,23,49,small green rectangle
49,hg13,True,22,1,50,medium yellow circle
50,hg13,False,2,21,51,medium yellow triangle
51,hg13,False,0,23,52,small yellow rectangle
52,hg13,True,22,1,53,small yellow circle
53,hg13,False,0,23,54,large yellow rectangle
54,hg13,False,3,20,55,medium blue circle
55,hg13,False,0,23,56,small yellow triangle
56,hg13,False,0,23,57,large blue triangle
57,hg13,False,1,22,58,small blue rectangle
58,hg13,False,1,22,59,small green triangle
59,hg13,False,0,23,60,small blue triangle
60,hg13,False,0,23,61,medium green triangle
61,hg13,False,0,23,62,large green triangle
62,hg13,False,1,22,63,small green rectangle
63,hg13,False,4,19,64,large blue circle
64,hg13,False,0,23,65,medium green triangle
65,hg13,False,1,22,66,medium green triangle
66,hg13,False,0,23,67,small yellow triangle
67,hg13,False,0,23,68,large green rectangle
68,hg13,False,0,23,69,large blue rectangle
69,hg13,False,0,23,70,medium green rectangle
70,hg13,False,2,21,71,large yellow triangle
71,hg13,True,22,1,72,large green circle
72,hg13,False,1,22,73,medium yellow triangle
73,hg74,False,10,15,0,large yellow circle
74,hg74,False,10,15,1,medium blue rectangle
75,hg74,False,12,13,2,large blue rectangle
76,hg74,False,8,17,3,large yellow triangle
77,hg74,True,11,14,4,medium green rectangle
78,hg74,True,11,14,5,small green circle
79,hg74,True,9,16,6,small blue circle
80,hg74,True,5,20,7,small blue rectangle
81,hg74,False,11,13,8,medium yellow rectangle
82,hg74,True,12,12,9,small blue triangle
83,hg74,False,16,8,10,small blue circle
84,hg74,True,11,13,11,medium blue triangle
85,hg74,True,11,13,12,medium yellow triangle
86,hg74,False,7,17,13,large yellow rectangle
87,hg74,False,14,10,14,small yellow rectangle
88,hg74,False,20,4,15,small blue triangle
89,hg74,False,20,4,16,medium blue triangle
90,hg74,False,11,13,17,medium green rectangle
91,hg74,True,12,12,18,large green triangle
92,hg74,False,9,15,19,large blue triangle
93,hg74,True,16,8,20,small green triangle
94,hg74,False,3,21,21,large yellow circle
95,hg74,False,10,14,22,large green rectangle
96,hg74,True,16,8,23,medium blue rectangle
97,hg74,False,7,17,24,medium blue triangle
98,hg74,False,12,12,25,medium blue rectangle
99,hg74,True,12,12,26,medium yellow circle
100,hg74,False,13,11,27,medium blue circle
101,hg74,True,15,9,28,medium yellow triangle
102,hg74,False,13,11,29,small green triangle
103,hg74,False,14,10,30,small yellow circle
104,hg74,False,6,18,31,large green rectangle
105,hg74,True,14,10,32,small yellow rectangle
106,hg74,True,13,11,33,large green triangle
107,hg74,False,5,19,34,large green circle
108,hg74,False,12,12,35,large yellow triangle
109,hg74,False,7,17,36,large blue rectangle
110,hg74,False,17,7,37,small blue rectangle
111,hg74,True,13,10,38,large green triangle
112,hg74,True,11,12,39,medium green rectangle
113,hg74,True,10,13,40,small green rectangle
114,hg74,False,6,17,41,large yellow circle
115,hg74,True,11,12,42,small green triangle
116,hg74,False,12,11,43,medium yellow rectangle
117,hg74,False,4,19,44,small blue circle
118,hg74,False,10,13,45,large yellow triangle
119,hg74,True,14,9,46,medium blue triangle
120,hg74,True,14,9,47,medium green circle
121,hg74,True,14,9,48,small blue triangle
122,hg74,True,15,8,49,medium blue circle
123,hg74,False,10,13,50,medium green rectangle
124,hg74,False,8,15,51,medium blue circle
125,hg74,True,13,10,52,medium blue rectangle
126,hg74,False,8,15,53,medium green triangle
127,hg74,True,11,12,54,small yellow rectangle
128,hg74,True,15,8,55,small blue rectangle
129,hg74,False,7,16,56,small yellow circle
130,hg74,False,3,20,57,large green rectangle
131,hg74,True,18,5,58,small blue circle
132,hg74,True,16,7,59,medium yellow triangle
133,hg74,True,17,6,60,small blue triangle
134,hg74,True,19,4,61,small yellow circle
135,hg74,False,8,15,62,small yellow triangle
136,hg74,False,10,13,63,small blue triangle
137,hg74,False,10,13,64,medium green triangle
138,hg74,True,17,6,65,medium blue rectangle
139,hg74,False,14,9,66,small blue circle
140,hg74,True,12,11,67,large green rectangle
141,hg74,False,10,13,68,small green triangle
142,hg74,False,7,16,69,medium yellow circle
143,hg74,False,9,14,70,medium yellow triangle
144,hg74,False,7,16,71,small yellow rectangle
145,hg74,True,17,6,72,medium green triangle
146,hg74,True,17,6,73,small green triangle
147,hg74,False,8,15,74,small yellow circle
148,hg74,False,13,10,75,small blue triangle
149,hg74,True,17,6,76,small green triangle
150,hg74,False,4,19,77,small blue rectangle
151,hg74,False,11,12,78,large yellow triangle
152,hg74,True,18,5,79,large green circle
153,hg74,True,19,4,80,small green circle
154,hg74,False,8,15,81,medium green circle
155,hg74,False,6,17,82,medium yellow triangle
156,hg74,True,18,5,83,large yellow triangle
157,hg74,False,12,11,84,small yellow circle
158,hg74,False,5,18,85,large green rectangle
159,hg74,True,19,4,86,medium yellow triangle
160,hg74,True,14,9,87,large green rectangle
161,hg74,True,16,7,88,large green circle
162,hg74,False,6,17,89,small yellow circle
163,hg74,False,13,10,90,large green triangle
164,hg74,False,2,21,91,small blue rectangle
165,hg37,False,7,16,0,medium green circle
166,hg37,True,6,17,1,small green triangle
167,hg37,True,11,12,2,medium blue triangle
168,hg37,False,4,19,3,small green rectangle
169,hg37,False,4,19,4,large green circle
170,hg37,False,5,17,5,medium yellow rectangle
171,hg37,False,5,17,6,medium green rectangle
172,hg37,False,3,19,7,small yellow circle
173,hg37,False,2,20,8,large yellow circle
174,hg37,False,16,6,9,medium yellow triangle
175,hg37,False,1,21,10,medium green circle
176,hg37,False,1,21,11,medium yellow rectangle
177,hg37,False,4,18,12,medium yellow triangle
178,hg37,True,5,17,13,medium blue circle
179,hg37,False,1,21,14,medium yellow rectangle
180,hg37,True,16,6,15,small blue triangle
181,hg37,False,7,14,16,small green rectangle
182,hg37,False,1,20,17,medium yellow rectangle
183,hg37,False,15,6,18,large green triangle
