,concept,overall_mean,overall_sd,last_quarter_mean,last_quarter_sd
0,hg01,0.9050802139037433,0.02932047085489481,1.0,0.0
1,hg02,0.8011904761904762,0.1563607883873854,0.9227272727272728,0.16830462346885108
2,hg03,0.9026086956521739,0.08365922414473528,0.9933333333333333,0.022607766610417558
3,hg04,0.8850241545893721,0.11248468354743336,0.9311594202898551,0.1816659585032127
4,hg05,0.8891666666666667,0.08205265924324995,0.9583333333333334,0.10873843239543188
5,hg06,0.7643770923003349,0.12485981646394931,0.8333333333333334,0.27482359313965227
6,hg07,0.8481624758220504,0.1386760866936978,0.9090909090909091,0.21306607743068534
7,hg08,0.8216463414634148,0.12879276073796023,0.9230769230769231,0.14194253937191917
8,hg09,0.8376811594202899,0.12646305910690764,0.9347826086956522,0.16839058026988768
9,hg10,0.8430540827147404,0.05609345134862437,0.9565217391304348,0.10337309747527289
10,hg100,0.6002415458937198,0.1347795785159698,0.7217391304347825,0.19990545969691562
11,hg101,0.6300570757092495,0.08814661694655337,0.7521739130434782,0.21237695203164894
12,hg102,0.4774305555555556,0.07485437894899341,0.532051282051282,0.1689926452110778
13,hg103,0.5717703349282296,0.07941718982152071,0.5,0.19999999999999998
14,hg104,0.5824390243902439,0.13785472873421603,0.6763636363636364,0.21830299665168926
15,hg105,0.5956439393939393,0.1406911447847547,0.7202797202797202,0.2290676832749538
16,hg106,0.6941666666666667,0.05913731666403389,0.7723076923076924,0.11813140812586133
17,hg107,0.618239660657476,0.08619014115043944,0.557312252964427,0.19013460032894378
18,hg108,0.5295238095238095,0.11995463995301935,0.5927272727272727,0.18916082623476296
19,hg109,0.7859459459459459,0.087800823802149,0.9079999999999999,0.15210522673465235
20,hg11,0.8321256038647344,0.07573147539415885,0.9521739130434783,0.08782178207271372
21,hg110,0.78,0.15316495725926152,0.8766666666666667,0.19595917942265423
22,hg111,0.5777591973244147,0.10959239048702973,0.577639751552795,0.18108546257283537
23,hg112,0.7091891891891892,0.1259076615052166,0.764,0.2133166660155741
24,hg12,0.7604070305272894,0.09983894588885876,0.8804347826086958,0.16268075594669307
