,concept,overall_mean,overall_sd,overall_scores,last_quarter_mean,last_quarter_sd,last_quarter_scores
0,hg01,0.9458874458874459,0.020111630396488243,"[0.9523809523809523, 0.9365079365079365, 0.9523809523809523, 0.9523809523809523, 0.9523809523809523, 0.9682539682539683, 0.9206349206349206, 0.9523809523809523, 0.9523809523809523, 0.9365079365079365, 0.8888888888888888, 0.9365079365079365, 0.9206349206349206, 0.9365079365079365, 0.9365079365079365, 0.9365079365079365, 0.9841269841269841, 0.9682539682539683, 0.9523809523809523, 0.9682539682539683, 0.9365079365079365, 0.9682539682539683]",0.9971590909090909,0.01301868095157909,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,hg02,0.864102564102564,0.15084683159059206,"[0.9230769230769231, 0.9102564102564102, 1.0, 0.9358974358974359, 0.7564102564102564, 0.7051282051282052, 0.6666666666666666, 0.8333333333333334, 0.8717948717948718, 0.9487179487179487, 0.9102564102564102, 0.8589743589743589, 0.9743589743589743, 0.9230769230769231, 0.8974358974358975, 1.0, 0.8974358974358975, 0.3333333333333333, 0.9743589743589743, 0.9615384615384616]",0.9324999999999999,0.1741228014936585,"[1.0, 1.0, 1.0, 1.0, 0.85, 0.85, 0.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0]"
2,hg03,0.934092434532146,0.07942516156831084,"[0.926829268292683, 0.975609756097561, 0.9634146341463414, 0.9024390243902439, 0.926829268292683, 0.9878048780487805, 0.9512195121951219, 0.9634146341463414, 0.9146341463414634, 0.5633802816901409, 0.9512195121951219, 0.8902439024390244, 0.9634146341463414, 0.975609756097561, 0.9634146341463414, 0.975609756097561, 0.9230769230769231, 0.9634146341463414, 0.9634146341463414, 0.9512195121951219, 0.975609756097561, 0.9512195121951219, 0.926829268292683, 0.9512195121951219, 0.9512195121951219]",0.9695798319327732,0.10040797444418334,"[1.0, 1.0, 1.0, 0.9047619047619048, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.9523809523809523, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8823529411764706, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,hg04,0.9175324675324673,0.11525013678667492,"[0.9428571428571428, 0.9714285714285714, 0.9285714285714286, 0.9571428571428572, 0.44285714285714284, 0.9714285714285714, 0.9714285714285714, 0.9714285714285714, 0.9428571428571428, 0.9142857142857143, 0.9142857142857143, 0.9714285714285714, 0.7285714285714285, 0.9714285714285714, 0.9714285714285714, 0.9571428571428572, 0.9428571428571428, 0.9571428571428572, 0.9571428571428572, 0.9, 0.9571428571428572, 0.9428571428571428]",0.9671717171717172,0.11922294579911992,"[1.0, 1.0, 1.0, 1.0, 0.4444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,hg05,0.9232209737827716,0.0727209282357588,"[0.9213483146067416, 0.9213483146067416, 0.9438202247191011, 0.9438202247191011, 0.9550561797752809, 0.9325842696629213, 0.9325842696629213, 0.9775280898876404, 0.9662921348314607, 0.6292134831460674, 0.9550561797752809, 0.9550561797752809, 0.9325842696629213, 0.9101123595505618, 0.8202247191011236, 0.9550561797752809, 0.9550561797752809, 0.9325842696629213, 0.8314606741573034, 0.9662921348314607, 0.9662921348314607, 0.9438202247191011, 0.9101123595505618, 1.0]",0.9619565217391304,0.09501807276770549,"[1.0, 1.0, 0.9565217391304348, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9565217391304348, 0.5652173913043478, 1.0, 1.0, 1.0, 1.0, 0.9565217391304348, 1.0, 0.9130434782608695, 0.9565217391304348, 1.0, 1.0, 1.0, 1.0, 0.782608695652174, 1.0]"
5,hg06,0.8249721293199552,0.12940402065244277,"[0.8974358974358975, 0.8717948717948718, 0.9615384615384616, 0.8076923076923077, 0.8974358974358975, 0.7564102564102564, 0.6794871794871795, 0.5256410256410257, 0.5641025641025641, 0.8076923076923077, 0.5384615384615384, 0.8589743589743589, 0.8846153846153846, 0.9743589743589743, 0.9230769230769231, 0.8846153846153846, 0.9358974358974359, 0.8974358974358975, 0.8589743589743589, 0.8974358974358975, 0.7307692307692307, 0.9102564102564102, 0.9102564102564102]",0.8869565217391304,0.16366548021494529,"[1.0, 1.0, 1.0, 0.75, 1.0, 0.85, 0.75, 0.4, 0.6, 0.85, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 0.6, 1.0, 0.9]"
6,hg07,0.8927738927738926,0.11842317758396774,"[0.7948717948717948, 0.8717948717948718, 0.9743589743589743, 0.9230769230769231, 0.9743589743589743, 0.5897435897435898, 0.8974358974358975, 0.9615384615384616, 0.9871794871794872, 0.9230769230769231, 0.7051282051282052, 0.9358974358974359, 0.9358974358974359, 0.9230769230769231, 0.9102564102564102, 0.9615384615384616, 0.9358974358974359, 0.9871794871794872, 0.9615384615384616, 0.5641025641025641, 0.9615384615384616, 0.9615384615384616]",0.9568181818181819,0.1151041569281873,"[0.9, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0]"
7,hg08,0.8624657534246575,0.13961747058821444,"[0.9315068493150684, 0.8767123287671232, 0.9726027397260274, 0.9452054794520548, 0.9452054794520548, 0.9178082191780822, 0.8356164383561644, 0.5753424657534246, 0.821917808219178, 0.9452054794520548, 0.9726027397260274, 0.4794520547945205, 0.6575342465753424, 0.9452054794520548, 0.821917808219178, 0.8904109589041096, 0.958904109589041, 0.8904109589041096, 0.821917808219178, 0.958904109589041, 0.9315068493150684, 0.5616438356164384, 0.9315068493150684, 0.9863013698630136, 0.9863013698630136]",0.9305263157894736,0.1702011194223809,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5789473684210527, 1.0, 1.0, 1.0, 0.3157894736842105, 0.6842105263157895, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6842105263157895, 1.0, 1.0, 1.0]"
8,hg09,0.8862876254180602,0.13679706579409737,"[0.9358974358974359, 0.9230769230769231, 0.9102564102564102, 0.9358974358974359, 0.9871794871794872, 0.9358974358974359, 0.9358974358974359, 0.8974358974358975, 0.9230769230769231, 0.8717948717948718, 0.9615384615384616, 0.9230769230769231, 0.9230769230769231, 0.9358974358974359, 0.8205128205128205, 0.9615384615384616, 0.7051282051282052, 0.8333333333333334, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.3076923076923077, 0.8846153846153846]",0.9500000000000001,0.18297065576087665,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.9, 0.95, 1.0, 1.0, 1.0, 0.1, 1.0]"
9,hg10,0.9106611078022632,0.032784655019709064,"[0.863013698630137, 0.9178082191780822, 0.9452054794520548, 0.9041095890410958, 0.9178082191780822, 0.958904109589041, 0.9315068493150684, 0.8904109589041096, 0.9315068493150684, 0.9041095890410958, 0.9315068493150684, 0.8904109589041096, 0.958904109589041, 0.8904109589041096, 0.958904109589041, 0.8767123287671232, 0.9041095890410958, 0.8493150684931506, 0.8767123287671232, 0.9315068493150684, 0.863013698630137, 0.8904109589041096, 0.958904109589041]",0.9977116704805491,0.01073321684170122,"[0.9473684210526315, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
