,concept,subject,first_quarter,last_quarter,overall
0,hg01,acq,0.8,1.0,0.9523809523809523
1,hg01,ajs,0.7333333333333333,1.0,0.9365079365079365
2,hg01,ajw,0.8,1.0,0.9523809523809523
3,hg01,apc,0.8,1.0,0.9523809523809523
4,hg01,apn,0.8,1.0,0.9523809523809523
5,hg01,ari,0.8666666666666667,1.0,0.9682539682539683
6,hg01,aue,0.6666666666666666,1.0,0.9206349206349206
7,hg01,awx,0.8,1.0,0.9523809523809523
8,hg01,azd,0.8,1.0,0.9523809523809523
9,hg01,baq,0.7333333333333333,1.0,0.9365079365079365
10,hg01,boy,0.8,0.9375,0.8888888888888888
11,hg01,bre,0.7333333333333333,1.0,0.9365079365079365
12,hg01,bwv,0.6666666666666666,1.0,0.9206349206349206
13,hg01,byo,0.7333333333333333,1.0,0.9365079365079365
14,hg01,bze,0.7333333333333333,1.0,0.9365079365079365
15,hg01,cai,0.7333333333333333,1.0,0.9365079365079365
16,hg01,caw,0.9333333333333333,1.0,0.9841269841269841
17,hg01,cch,0.8666666666666667,1.0,0.9682539682539683
18,hg01,ccu,0.8,1.0,0.9523809523809523
19,hg01,cfx,0.8666666666666667,1.0,0.9682539682539683
20,hg01,clu,0.7333333333333333,1.0,0.9365079365079365
21,hg01,cmt,0.8666666666666667,1.0,0.9682539682539683
22,hg02,aaf,0.6842105263157895,1.0,0.9230769230769231
23,hg02,aak,0.631578947368421,1.0,0.9102564102564102
24,hg02,acq,1.0,1.0,1.0
25,hg02,agu,0.7368421052631579,1.0,0.9358974358974359
26,hg02,alh,0.5789473684210527,0.85,0.7564102564102564
27,hg02,alx,0.3684210526315789,0.85,0.7051282051282052
28,hg02,ama,0.3157894736842105,0.7,0.6666666666666666
29,hg02,amd,0.5263157894736842,1.0,0.8333333333333334
30,hg02,aol,0.5263157894736842,1.0,0.8717948717948718
31,hg02,ary,0.8421052631578947,1.0,0.9487179487179487
32,hg02,azc,0.6842105263157895,1.0,0.9102564102564102
33,hg02,azp,0.42105263157894735,1.0,0.8589743589743589
34,hg02,bbb,0.8947368421052632,1.0,0.9743589743589743
35,hg02,bhm,0.7894736842105263,1.0,0.9230769230769231
36,hg02,bmi,0.5789473684210527,1.0,0.8974358974358975
37,hg02,bqc,1.0,1.0,1.0
38,hg02,bre,0.5789473684210527,1.0,0.8974358974358975
39,hg02,bxj,0.3684210526315789,0.25,0.3333333333333333
40,hg02,bxu,0.8947368421052632,1.0,0.9743589743589743
41,hg02,clc,0.8421052631578947,1.0,0.9615384615384616
42,hg03,afs,0.7,1.0,0.926829268292683
43,hg03,ahb,0.9,1.0,0.975609756097561
44,hg03,ahe,0.9,1.0,0.9634146341463414
45,hg03,ahs,0.75,0.9047619047619048,0.9024390243902439
46,hg03,aiy,0.7,1.0,0.926829268292683
47,hg03,aja,0.95,1.0,0.9878048780487805
