,concept,subject,first_quarter,last_quarter,overall
0,hg01,acq,0.625,1.0,0.9117647058823529
1,hg01,ajs,0.5,1.0,0.8823529411764706
2,hg01,ajw,0.625,1.0,0.9117647058823529
3,hg01,apc,0.625,1.0,0.9117647058823529
4,hg01,apn,0.625,1.0,0.9117647058823529
5,hg01,ari,0.75,1.0,0.9411764705882353
6,hg01,aue,0.625,1.0,0.8529411764705882
7,hg01,awx,0.625,1.0,0.9117647058823529
8,hg01,azd,0.625,1.0,0.9117647058823529
9,hg01,baq,0.5,1.0,0.8823529411764706
10,hg01,boy,0.625,1.0,0.9117647058823529
11,hg01,bre,0.625,1.0,0.8823529411764706
12,hg01,bwv,0.375,1.0,0.8529411764705882
13,hg01,byo,0.5,1.0,0.8823529411764706
14,hg01,bze,0.5,1.0,0.8823529411764706
15,hg01,cai,0.5,1.0,0.8823529411764706
16,hg01,caw,0.875,1.0,0.9705882352941176
17,hg01,cch,0.75,1.0,0.9411764705882353
18,hg01,ccu,0.625,1.0,0.9117647058823529
19,hg01,cfx,0.75,1.0,0.9411764705882353
20,hg01,clu,0.5,1.0,0.8823529411764706
21,hg01,cmt,0.75,1.0,0.9411764705882353
22,hg02,aaf,0.4,1.0,0.8571428571428571
23,hg02,aak,0.5,1.0,0.8333333333333334
24,hg02,acq,1.0,1.0,1.0
25,hg02,agu,0.5,1.0,0.8809523809523809
26,hg02,alh,0.6,1.0,0.6904761904761905
27,hg02,alx,0.3,0.5454545454545454,0.5714285714285714
28,hg02,ama,0.3,0.8181818181818182,0.5952380952380952
29,hg02,amd,0.4,0.8181818181818182,0.6904761904761905
30,hg02,aol,0.7,1.0,0.7619047619047619
31,hg02,ary,0.7,1.0,0.9047619047619048
32,hg02,azc,0.5,1.0,0.8333333333333334
33,hg02,azp,0.2,1.0,0.7380952380952381
34,hg02,bbb,0.8,1.0,0.9523809523809523
35,hg02,bhm,0.8,0.9090909090909091,0.8571428571428571
36,hg02,bmi,0.2,1.0,0.8095238095238095
37,hg02,bqc,1.0,1.0,1.0
38,hg02,bre,0.2,1.0,0.8095238095238095
39,hg02,bxj,0.5,0.36363636363636365,0.35714285714285715
40,hg02,bxu,0.8,1.0,0.9523809523809523
41,hg02,clc,0.8,1.0,0.9285714285714286
42,hg03,afs,0.7272727272727273,1.0,0.8695652173913043
43,hg03,ahb,0.8181818181818182,1.0,0.9565217391304348
44,hg03,ahe,0.8181818181818182,1.0,0.9565217391304348
45,hg03,ahs,0.5454545454545454,0.9166666666666666,0.8695652173913043
46,hg03,aiy,0.5454545454545454,1.0,0.8695652173913043
47,hg03,aja,0.9090909090909091,1.0,0.9782608695652174
48,hg03,aof,0.6363636363636364,1.0,0.9130434782608695
49,hg03,aog,0.7272727272727273,1.0,0.9347826086956522
50,hg03,aqx,0.6363636363636364,1.0,0.8478260869565217
51,hg03,asq,0.6363636363636364,0.9166666666666666,0.5434782608695652
52,hg03,avj,0.7272727272727273,1.0,0.9347826086956522
53,hg03,bbl,0.36363636363636365,1.0,0.8043478260869565
54,hg03,bdf,0.7272727272727273,1.0,0.9347826086956522
55,hg03,bfs,0.8181818181818182,1.0,0.9565217391304348
56,hg03,bhm,0.7272727272727273,1.0,0.9347826086956522
57,hg03,bjr,0.8181818181818182,1.0,0.9565217391304348
58,hg03,bnw,0.7272727272727273,1.0,0.9347826086956522
59,hg03,bvr,0.7272727272727273,1.0,0.9347826086956522
60,hg03,bwh,0.7272727272727273,1.0,0.9347826086956522
61,hg03,bzv,0.6363636363636364,1.0,0.9130434782608695
62,hg03,cfr,0.8181818181818182,1.0,0.9565217391304348
63,hg03,cik,0.6363636363636364,1.0,0.9130434782608695
64,hg03,cjr,0.45454545454545453,1.0,0.8695652173913043
65,hg03,cki,0.7272727272727273,1.0,0.9130434782608695
66,hg03,cmx,0.7272727272727273,1.0,0.9347826086956522
67,hg04,abm,0.9090909090909091,0.3333333333333333,0.6666666666666666
68,hg04,abx,0.8181818181818182,1.0,0.9111111111111111
69,hg04,acq,1.0,1.0,0.9555555555555556
70,hg04,ahj,0.6363636363636364,1.0,0.8888888888888888
71,hg04,ajx,0.9090909090909091,1.0,0.9333333333333333
72,hg04,akn,0.45454545454545453,0.5,0.4666666666666667
73,hg04,amv,1.0,1.0,0.9555555555555556
74,hg04,aof,1.0,1.0,0.9555555555555556
75,hg04,aui,0.8181818181818182,1.0,0.9555555555555556
76,hg04,aum,0.9090909090909091,1.0,0.9111111111111111
77,hg04,awi,0.7272727272727273,1.0,0.8666666666666667
78,hg04,azp,0.8181818181818182,1.0,0.8666666666666667
79,hg04,bji,0.8181818181818182,1.0,0.9555555555555556
80,hg04,bks,0.7272727272727273,0.5833333333333334,0.7555555555555555
81,hg04,bms,0.8181818181818182,1.0,0.9555555555555556
82,hg04,bni,0.9090909090909091,1.0,0.9555555555555556
83,hg04,bpu,0.9090909090909091,1.0,0.9333333333333333
84,hg04,bup,0.9090909090909091,1.0,0.9111111111111111
85,hg04,bvv,1.0,1.0,0.9333333333333333
86,hg04,caq,0.9090909090909091,1.0,0.9333333333333333
87,hg04,cch,0.5454545454545454,1.0,0.8444444444444444
88,hg04,cdn,0.9090909090909091,1.0,0.9333333333333333
89,hg04,cmj,0.7272727272727273,1.0,0.9111111111111111
90,hg05,abi,0.4166666666666667,1.0,0.86
91,hg05,agh,0.75,0.9230769230769231,0.88
92,hg05,agu,0.6666666666666666,1.0,0.92
93,hg05,aht,0.6666666666666666,1.0,0.9
94,hg05,ane,0.6666666666666666,1.0,0.92
95,hg05,arn,0.5833333333333334,1.0,0.9
96,hg05,bbb,0.5833333333333334,0.9230769230769231,0.88
97,hg05,bbl,0.8333333333333334,1.0,0.96
98,hg05,bcr,0.8333333333333334,1.0,0.96
99,hg05,bdk,0.6666666666666666,0.5384615384615384,0.66
100,hg05,bhm,0.6666666666666666,1.0,0.92
101,hg05,bji,0.6666666666666666,1.0,0.92
102,hg05,boh,0.6666666666666666,1.0,0.88
103,hg05,btv,0.3333333333333333,1.0,0.84
104,hg05,bzk,0.6666666666666666,0.6923076923076923,0.72
105,hg05,bzw,0.75,1.0,0.92
106,hg05,cac,0.9166666666666666,0.9230769230769231,0.96
107,hg05,cbg,0.6666666666666666,1.0,0.92
108,hg05,cck,0.75,1.0,0.7
109,hg05,cdq,0.75,1.0,0.94
110,hg05,cek,0.75,1.0,0.94
111,hg05,cih,0.6666666666666666,1.0,0.9
112,hg05,cki,0.75,1.0,0.94
113,hg05,ckn,1.0,1.0,1.0
114,hg06,abm,0.6,0.8181818181818182,0.8048780487804879
115,hg06,agu,0.7,1.0,0.7560975609756098
116,hg06,agy,0.5,0.0,0.7352941176470589
117,hg06,ahb,0.7,1.0,0.926829268292683
118,hg06,ahs,0.7,0.9090909090909091,0.7804878048780488
119,hg06,alj,0.7,1.0,0.8048780487804879
120,hg06,amt,0.7,0.6363636363636364,0.7317073170731707
121,hg06,aum,0.4,0.7272727272727273,0.6341463414634146
122,hg06,axc,0.6,0.6363636363636364,0.6341463414634146
123,hg06,azi,0.6,0.36363636363636365,0.5853658536585366
124,hg06,azv,0.5,1.0,0.7073170731707317
125,hg06,bgl,0.2,0.18181818181818182,0.34146341463414637
126,hg06,bhm,0.4,1.0,0.7317073170731707
127,hg06,bil,0.3,1.0,0.7804878048780488
128,hg06,bms,0.8,1.0,0.9512195121951219
129,hg06,brf,0.5,1.0,0.8780487804878049
130,hg06,bud,0.3,1.0,0.7804878048780488
