,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
0,hg01,0.5833333333333334,0.8888888888888888,0.1111111111111111,gemma_2b-it,0.0,0.0,-0.11111111111111116
1,hg02,0.7021276595744681,0.9090909090909091,0.18181818181818182,gemma_2b-it,10.0,20.0,-0.09090909090909094
2,hg03,0.7058823529411765,0.6666666666666666,0.5833333333333334,gemma_2b-it,4.0,4.0,-0.33333333333333337
3,hg04,0.5434782608695652,0.36363636363636365,0.36363636363636365,gemma_2b-it,4.545454545454546,0.0,-0.6363636363636364
4,hg05,0.5370370370370371,0.6153846153846154,0.46153846153846156,gemma_2b-it,0.0,4.166666666666667,-0.3846153846153846
5,hg06,0.46511627906976744,0.7,0.2,gemma_2b-it,0.0,13.043478260869565,-0.30000000000000004
6,hg07,0.7254901960784313,0.9166666666666666,0.5833333333333334,gemma_2b-it,13.636363636363637,13.636363636363637,-0.08333333333333337
7,hg08,0.627906976744186,0.9,0.5,gemma_2b-it,12.0,16.0,-0.09999999999999998
8,hg09,0.7708333333333334,0.8333333333333334,0.5833333333333334,gemma_2b-it,8.695652173913043,4.3478260869565215,-0.16666666666666663
9,hg100,0.46153846153846156,0.6666666666666666,0.3333333333333333,gemma_2b-it,4.761904761904762,19.047619047619047,-0.2222222222222222
10,hg101,0.55,0.6,0.5,gemma_2b-it,4.545454545454546,36.36363636363637,-0.03888888888888886
11,hg102,0.39622641509433965,0.3076923076923077,0.38461538461538464,gemma_2b-it,12.5,8.333333333333334,-0.24230769230769234
12,hg103,0.38461538461538464,0.5555555555555556,0.2222222222222222,gemma_2b-it,0.0,59.09090909090909,0.0292397660818714
13,hg104,0.40476190476190477,0.7,0.1,gemma_2b-it,0.0,37.5,-0.17500000000000004
14,hg105,0.46938775510204084,0.4166666666666667,0.3333333333333333,gemma_2b-it,9.090909090909092,4.545454545454546,-0.4780701754385965
15,hg106,0.6415094339622641,0.7692307692307693,0.46153846153846156,gemma_2b-it,8.0,60.0,0.019230769230769273
16,hg107,0.4318181818181818,0.6363636363636364,0.2727272727272727,gemma_2b-it,4.3478260869565215,34.78260869565217,-0.11363636363636365
17,hg108,0.5681818181818182,0.45454545454545453,0.5454545454545454,gemma_2b-it,44.0,12.0,-0.19251336898395727
18,hg109,0.675,0.6,0.5,gemma_2b-it,4.0,0.0,-0.25
19,hg10,0.5714285714285714,0.7,0.4,gemma_2b-it,0.0,0.0,-0.30000000000000004
20,hg110,0.6,0.9090909090909091,0.2727272727272727,gemma_2b-it,8.0,100.0,0.27751196172248804
21,hg111,0.40350877192982454,0.7142857142857143,0.21428571428571427,gemma_2b-it,0.0,69.56521739130434,0.10559006211180122
22,hg112,0.4,0.5,0.1,gemma_2b-it,0.0,0.0,-0.39473684210526316
