,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference,human_last_quarter_median
0,hg58,0.6805555555555556,0.8888888888888888,0.4444444444444444,gemma_7b-it,60.8695652173913,78.26086956521739,0.15204678362573099,0.7368421052631579
1,hg103,0.684931506849315,0.8421052631578947,0.5263157894736842,gemma_7b-it,77.27272727272728,81.81818181818183,0.3157894736842105,0.5263157894736842
2,hg76,0.589041095890411,0.631578947368421,0.5263157894736842,gemma_7b-it,54.54545454545455,63.63636363636364,0.05263157894736836,0.5789473684210527
3,hg61,0.703125,0.375,0.75,gemma_7b-it,45.45454545454546,18.181818181818183,-0.2720588235294118,0.6470588235294118
4,hg110,0.6944444444444444,0.6666666666666666,0.3888888888888889,gemma_7b-it,32.0,64.0,0.03508771929824561,0.631578947368421
5,hg65,0.8142857142857143,0.8888888888888888,0.6111111111111112,gemma_7b-it,28.57142857142857,61.904761904761905,0.0,0.8888888888888888
6,hg72,0.7236842105263158,0.8421052631578947,0.5789473684210527,gemma_7b-it,78.26086956521739,65.21739130434783,0.09210526315789469,0.75
7,hg107,0.6493506493506493,0.7,0.4,gemma_7b-it,52.17391304347826,47.826086956521735,-0.050000000000000044,0.75
8,hg95,0.9054054054054054,1.0,0.7368421052631579,gemma_7b-it,39.130434782608695,100.0,0.0,1.0
9,hg28,0.6962025316455697,0.65,0.75,gemma_7b-it,39.130434782608695,30.43478260869565,-0.29999999999999993,0.95
10,hg82,0.7213114754098361,0.875,0.5625,gemma_7b-it,29.166666666666668,25.0,-0.125,1.0
11,hg11,0.8961038961038961,0.9,0.85,gemma_7b-it,36.36363636363637,9.090909090909092,-0.09999999999999998,1.0
12,hg06,0.6923076923076923,0.8,0.55,gemma_7b-it,17.391304347826086,26.08695652173913,-0.19999999999999996,1.0
13,hg86,0.8625,0.9,0.75,gemma_7b-it,47.826086956521735,17.391304347826086,-0.09999999999999998,1.0
14,hg91,0.8333333333333334,0.8695652173913043,0.6956521739130435,gemma_7b-it,72.72727272727273,63.63636363636364,0.04347826086956519,0.8260869565217391
15,hg02,0.8974358974358975,1.0,0.6,gemma_7b-it,45.0,100.0,0.0,1.0
16,hg15,0.6753246753246753,0.55,0.55,gemma_7b-it,42.10526315789474,21.05263157894737,-0.3999999999999999,0.95
17,hg81,0.8923076923076924,0.9411764705882353,0.7058823529411765,gemma_7b-it,85.71428571428571,52.38095238095238,0.0,0.9411764705882353
18,hg96,0.8933333333333333,1.0,0.6842105263157895,gemma_7b-it,30.0,100.0,0.0,1.0
19,hg05,0.8426966292134831,0.9565217391304348,0.5652173913043478,gemma_7b-it,12.5,29.166666666666668,-0.04347826086956519,1.0
20,hg12,0.7176470588235294,0.7727272727272727,0.5,gemma_7b-it,21.73913043478261,21.73913043478261,-0.2272727272727273,1.0
21,hg92,0.7051282051282052,0.85,0.35,gemma_7b-it,8.333333333333334,25.0,-0.09999999999999998,0.95
22,hg38,0.7857142857142857,0.9047619047619048,0.9047619047619048,gemma_7b-it,88.0,92.0,0.35930735930735935,0.5454545454545454
23,hg85,0.8955223880597015,0.9411764705882353,0.7647058823529411,gemma_7b-it,82.6086956521739,47.826086956521735,-0.05882352941176472,1.0
24,hg16,0.7424242424242424,0.7647058823529411,0.6470588235294118,gemma_7b-it,40.909090909090914,36.36363636363637,-0.17647058823529416,0.9411764705882353
25,hg01,0.9682539682539683,1.0,0.875,gemma_7b-it,95.45454545454547,100.00000000000001,0.0,1.0
26,hg62,0.7894736842105263,0.9473684210526315,0.5263157894736842,gemma_7b-it,40.909090909090914,68.18181818181819,0.047368421052631504,0.9
27,hg75,0.6111111111111112,0.6111111111111112,0.6666666666666666,gemma_7b-it,48.0,36.0,-0.07309941520467833,0.6842105263157895
28,hg100,0.7285714285714285,0.6666666666666666,0.7222222222222222,gemma_7b-it,52.38095238095238,19.047619047619047,-0.2222222222222222,0.8888888888888888
29,hg48,0.8059701492537313,1.0,0.5882352941176471,gemma_7b-it,62.50000000000001,100.0,0.1470588235294118,0.8529411764705882
30,hg104,0.4605263157894737,0.47368421052631576,0.3684210526315789,gemma_7b-it,4.166666666666667,8.333333333333334,-0.40131578947368424,0.875
31,hg71,0.8461538461538461,0.75,0.9,gemma_7b-it,61.904761904761905,33.333333333333336,-0.19999999999999996,0.95
32,hg66,0.59375,0.5,0.5,gemma_7b-it,52.17391304347826,30.43478260869565,-0.1470588235294118,0.6470588235294118
33,hg55,0.782051282051282,0.85,0.6,gemma_7b-it,29.166666666666668,37.5,-0.07500000000000007,0.925
34,hg42,0.7469879518072289,0.9047619047619048,0.47619047619047616,gemma_7b-it,22.72727272727273,86.36363636363637,0.04761904761904767,0.8571428571428571
35,hg46,0.7441860465116279,0.9090909090909091,0.5454545454545454,gemma_7b-it,7.6923076923076925,92.3076923076923,0.09090909090909083,0.8181818181818182
36,hg51,0.8227848101265823,0.9,0.7,gemma_7b-it,17.391304347826086,65.21739130434783,0.0,0.9
37,hg68,0.5897435897435898,0.45,0.65,gemma_7b-it,56.0,32.0,-0.10000000000000003,0.55
38,hg32,0.8428571428571429,0.7222222222222222,0.8888888888888888,gemma_7b-it,66.66666666666667,29.166666666666668,-0.25,0.9722222222222222
39,hg25,0.7391304347826086,0.8333333333333334,0.5555555555555556,gemma_7b-it,13.636363636363637,22.72727272727273,-0.16666666666666663,1.0
40,hg98,0.782608695652174,0.9444444444444444,0.5,gemma_7b-it,69.56521739130434,73.91304347826086,0.11111111111111105,0.8333333333333334
41,hg21,0.8354430379746836,0.85,0.75,gemma_7b-it,32.0,28.0,-0.15000000000000002,1.0
42,hg36,0.7222222222222222,0.7777777777777778,0.4444444444444444,gemma_7b-it,80.95238095238095,90.47619047619048,0.14619883040935677,0.631578947368421
43,hg18,0.9428571428571428,1.0,0.9444444444444444,gemma_7b-it,76.0,100.0,0.0,1.0
44,hg26,0.8589743589743589,0.85,0.8,gemma_7b-it,61.904761904761905,61.904761904761905,0.04999999999999993,0.8
45,hg31,0.7195121951219512,0.9047619047619048,0.5238095238095238,gemma_7b-it,12.0,40.0,-0.04761904761904756,0.9523809523809523
46,hg08,0.9041095890410958,0.8947368421052632,0.8947368421052632,gemma_7b-it,44.0,16.0,-0.10526315789473684,1.0
47,hg88,0.7045454545454546,0.7272727272727273,0.6363636363636364,gemma_7b-it,76.19047619047619,66.66666666666667,0.11857707509881421,0.6086956521739131
48,hg35,0.8382352941176471,1.0,0.6470588235294118,gemma_7b-it,52.17391304347826,100.0,0.05555555555555558,0.9444444444444444
49,hg22,0.9583333333333334,1.0,0.8333333333333334,gemma_7b-it,90.90909090909092,100.00000000000001,0.0,1.0
50,hg41,0.821917808219178,1.0,0.631578947368421,gemma_7b-it,87.5,100.0,0.13157894736842102,0.868421052631579
51,hg56,0.6323529411764706,0.7647058823529411,0.29411764705882354,gemma_7b-it,24.0,56.0,0.042483660130718914,0.7222222222222222
52,hg78,0.8444444444444444,0.9130434782608695,0.782608695652174,gemma_7b-it,34.78260869565217,17.391304347826086,-0.08695652173913049,1.0
53,hg52,0.9240506329113924,0.9,0.8,gemma_7b-it,54.54545454545455,27.272727272727273,-0.04999999999999993,0.95
54,hg45,0.6590909090909091,0.6363636363636364,0.7727272727272727,gemma_7b-it,60.8695652173913,47.826086956521735,-0.015810276679841917,0.6521739130434783
55,hg109,0.8076923076923077,0.8,0.7,gemma_7b-it,36.0,36.0,-0.04999999999999993,0.85
56,hg23,0.9186046511627907,1.0,0.6818181818181818,gemma_7b-it,31.81818181818182,100.00000000000001,0.0,1.0
57,hg34,0.855072463768116,0.8333333333333334,0.8888888888888888,gemma_7b-it,100.0,76.0,0.05555555555555558,0.7777777777777778
58,hg89,0.7283950617283951,0.7619047619047619,0.5714285714285714,gemma_7b-it,31.81818181818182,63.63636363636364,0.0,0.7619047619047619
59,hg09,0.8974358974358975,1.0,0.65,gemma_7b-it,30.43478260869565,100.0,0.0,1.0
60,hg30,0.7638888888888888,0.9444444444444444,0.3888888888888889,gemma_7b-it,28.57142857142857,42.857142857142854,-0.0029239766081871066,0.9473684210526315
61,hg27,0.6842105263157895,0.8421052631578947,0.42105263157894735,gemma_7b-it,26.08695652173913,26.08695652173913,-0.10789473684210527,0.95
62,hg108,0.6363636363636364,0.7058823529411765,0.4117647058823529,gemma_7b-it,72.0,68.0,0.05882352941176472,0.6470588235294118
63,hg44,0.782051282051282,0.85,0.65,gemma_7b-it,96.0,92.0,0.19999999999999996,0.65
64,hg53,0.8923076923076924,0.9411764705882353,0.7647058823529411,gemma_7b-it,69.56521739130434,21.73913043478261,-0.05882352941176472,1.0
65,hg79,0.875,0.9545454545454546,0.6363636363636364,gemma_7b-it,42.857142857142854,14.285714285714285,-0.045454545454545414,1.0
66,hg57,0.7162162162162162,0.6842105263157895,0.7894736842105263,gemma_7b-it,87.5,58.333333333333336,0.0,0.6842105263157895
67,hg40,0.6455696202531646,0.7,0.5,gemma_7b-it,52.17391304347826,47.826086956521735,-0.050000000000000044,0.75
68,hg69,0.7894736842105263,0.8421052631578947,0.47368421052631576,gemma_7b-it,12.5,16.666666666666668,-0.1578947368421053,1.0
69,hg50,0.8108108108108109,0.8421052631578947,0.6842105263157895,gemma_7b-it,41.66666666666667,33.333333333333336,-0.13157894736842102,0.9736842105263157
70,hg47,0.8292682926829268,0.9047619047619048,0.8095238095238095,gemma_7b-it,100.0,100.0,0.1428571428571429,0.7619047619047619
71,hg43,0.8591549295774648,1.0,0.6666666666666666,gemma_7b-it,54.54545454545455,100.00000000000001,0.16666666666666663,0.8333333333333334
72,hg54,0.9111111111111111,1.0,0.6956521739130435,gemma_7b-it,45.833333333333336,100.0,0.0,1.0
73,hg19,0.8888888888888888,1.0,0.6111111111111112,gemma_7b-it,27.272727272727273,100.00000000000001,0.0,1.0
74,hg37,0.7142857142857143,0.8888888888888888,0.3333333333333333,gemma_7b-it,40.0,60.0,0.02777777777777768,0.8611111111111112
75,hg20,0.863013698630137,1.0,0.631578947368421,gemma_7b-it,13.043478260869565,100.0,0.0,1.0
76,hg99,0.8,1.0,0.7058823529411765,gemma_7b-it,42.857142857142854,100.0,0.0,1.0
77,hg24,0.868421052631579,1.0,0.631578947368421,gemma_7b-it,40.909090909090914,100.00000000000001,0.0,1.0
78,hg33,0.8405797101449275,1.0,0.5555555555555556,gemma_7b-it,42.857142857142854,100.0,0.05555555555555558,0.9444444444444444
