,model,concept,listnum,first_quarter,last_quarter,overall,chance,human_ove_mean,human_lq_mean,human_lq_median,human_lq_sd,is_boolean,above_chance,delta_lq_median,delta_lq,delta_ove,lq_above_first_percentile,lq_above_fifth_percentile,lq_above_first_quintile,lq_above_first_decile,lq_above_first_quartile,lq_above_sd,lq_above_2sd,lq_above_3sd,lq_at_human_baseline,ove_at_human_baseline,learned
0,GPT4,hg01,1,0.5666666666666667,0.9333333333333333,0.8059071729957806,1.0,0.9212988442487616,0.991304347826087,1.0,0.0407862239984645,True,False,-0.06666666666666665,-0.05797101449275366,0.01203448908457172,True,False,False,False,False,False,True,True,False,False,True
1,GPT4,hg01,2,0.625,1.0,0.9047619047619048,1.0,0.945887445887446,0.9971590909090908,1.0,0.013018680951579,True,False,0.0,0.0028409090909091717,0.054112554112554,True,True,True,True,True,True,True,True,True,False,True
2,GPT4,hg02,1,0.2631578947368421,1.0,0.6710526315789473,1.0,0.895308924485126,0.9473684210526316,1.0,0.1279828966051218,True,False,0.0,0.05263157894736836,0.104691075514874,True,True,True,True,True,True,True,True,True,False,True
3,GPT4,hg02,2,0.5,1.0,0.8205128205128205,1.0,0.8641025641025643,0.9325,1.0,0.1741228014936585,True,False,0.0,0.0675,0.13589743589743575,True,True,True,True,True,True,True,True,True,False,True
4,GPT4,hg03,1,0.9,1.0,0.9743589743589743,0.5555555555555556,0.9090909090909092,0.9431818181818182,1.0,0.1141126382784835,True,True,0.0,0.05681818181818177,0.09090909090909083,True,True,True,True,True,True,True,True,True,True,True
5,GPT4,hg03,2,0.8095238095238095,1.0,0.9512195121951219,0.5761451516954194,0.950689289501591,0.9937888198757764,1.0,0.0213160044326853,True,True,0.0,0.006211180124223614,0.04931071049840896,True,True,True,True,True,True,True,True,True,True,True
6,GPT4,hg04,1,0.9090909090909091,1.0,0.9767441860465116,0.6081665765278528,0.9290697674418602,0.975,1.0,0.0831644293796908,True,True,0.0,0.025000000000000022,0.0709302325581398,True,True,True,True,True,True,True,True,True,True,True
7,GPT4,hg04,2,0.7222222222222222,1.0,0.9285714285714286,0.6473469387755102,0.9175324675324672,0.9671717171717172,1.0,0.1192229457991199,True,True,0.0,0.03282828282828276,0.0824675324675328,True,True,True,True,True,True,True,True,True,True,True
8,GPT4,hg05,1,0.7222222222222222,1.0,0.9166666666666666,0.5987654320987654,0.8816137566137566,0.9576719576719576,1.0,0.1247039550200283,True,True,0.0,0.04232804232804244,0.11838624338624337,True,True,True,True,True,True,True,True,True,True,True
9,GPT4,hg05,2,0.5217391304347826,1.0,0.8764044943820225,0.5394520893826538,0.9232209737827716,0.9619565217391304,1.0,0.0950180727677054,True,True,0.0,0.03804347826086962,0.07677902621722843,True,True,True,True,True,True,True,True,True,False,True
10,GPT4,hg06,1,0.8636363636363636,0.9545454545454546,0.9534883720930233,0.513250405624662,0.8160676532769556,0.9194214876033058,1.0,0.1666908549713219,True,True,-0.045454545454545414,0.03512396694214881,0.13847780126849896,True,True,True,True,True,True,True,True,True,True,True
11,GPT4,hg06,2,0.9,1.0,0.9615384615384616,0.5013149243918474,0.8249721293199552,0.8869565217391304,1.0,0.1636654802149452,True,True,0.0,0.11304347826086958,0.17502787068004477,True,True,True,True,True,True,True,True,True,True,True
12,GPT4,hg07,1,0.7222222222222222,1.0,0.9166666666666666,0.5987654320987654,0.8551587301587301,0.9338624338624338,1.0,0.1604841363820433,True,True,0.0,0.06613756613756616,0.14484126984126988,True,True,True,True,True,True,True,True,True,True,True
13,GPT4,hg07,2,0.65,1.0,0.9102564102564102,0.5950032873109796,0.8927738927738926,0.956818181818182,1.0,0.1151041569281872,True,True,0.0,0.04318181818181799,0.10722610722610737,True,True,True,True,True,True,True,True,True,True,True
14,GPT4,hg08,1,0.9047619047619048,1.0,0.975609756097561,0.5963712076145151,0.9024390243902438,0.9627329192546584,1.0,0.0930986631714994,True,True,0.0,0.037267080745341574,0.09756097560975618,True,True,True,True,True,True,True,True,True,True,True
15,GPT4,hg08,2,0.7894736842105263,1.0,0.9452054794520548,0.6021767686245074,0.875,0.9407894736842106,1.0,0.1659582126536187,True,True,0.0,0.05921052631578938,0.125,True,True,True,True,True,True,True,True,True,True,True
