,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"circle,yellow,3",False,0,0,0,hg74,2,"[' False', ' True', '\n', ' None', ' Des']", False,False,-47.05939865112305,-43.76521682739258
1,"rectangle,blue,2",False,0,1,1,hg74,2,"['\n', ' False', '<|endoftext|>', ' True', ' 0']","
",False,-9.323532104492188,-7.040454864501953
2,"rectangle,blue,3",False,0,2,2,hg74,2,"['\n', '<|endoftext|>', '\n\n', ' #', ' 0']","
",False,17.492761611938477,18.360551834106445
3,"triangle,yellow,3",False,1,0,3,hg74,2,"[' False', ' Triangle', '\n', ' Tri', ' Tr']", False,False,-67.48997497558594,-65.972900390625
4,"rectangle,green,2",True,1,1,4,hg74,2,"[' False', ' True', '\n', ' None', ' 0']", False,False,-60.61332321166992,-57.18985366821289
5,"circle,green,1",True,1,2,5,hg74,2,"[' False', ' True', '\n', ' None', '<|endoftext|>']", False,False,-24.422252655029297,-22.040592193603516
6,"circle,blue,1",True,1,3,6,hg74,2,"[' False', ' True', '\n', ' None', '<|endoftext|>']", False,False,-1.6856763362884521,0.36196035146713257
7,"rectangle,blue,1",True,1,4,7,hg74,2,"[' False', ' True', '\n', ' None', '<|endoftext|>']", False,False,-2.3060691356658936,0.5418316721916199
8,"rectangle,yellow,2",False,2,0,8,hg74,2,"[' False', ' True', ' None', ' 0', '\n']", False,False,-158.4534149169922,-155.77154541015625
9,"triangle,blue,1",True,2,1,9,hg74,2,"[' False', ' True', ' 0', ' None', '\n']", False,False,-150.0159149169922,-148.0975799560547
10,"circle,blue,1",False,2,2,10,hg74,2,"[' True', ' False', ' None', '\n', ' 0']", True,True,-127.90412902832031,-129.75579833984375
11,"triangle,blue,2",True,2,3,11,hg74,2,"[' True', ' False', ' None', ' 0', '\n']", True,True,-114.12320709228516,-114.65654754638672
12,"triangle,yellow,2",True,2,4,12,hg74,2,"[' True', ' False', ' None', '\n', ' Tr']", True,True,36.46061325073242,35.14237594604492
13,"rectangle,yellow,3",False,3,0,13,hg74,2,"[' False', ' True', ' None', '\n', ' 0']", False,False,-187.34774780273438,-184.49819946289062
14,"rectangle,yellow,1",False,3,1,14,hg74,2,"[' True', ' False', ' None', '\n', ' 0']", True,True,-156.03550720214844,-157.46282958984375
15,"triangle,blue,1",False,3,2,15,hg74,2,"[' True', ' False', ' None', '\n', ' 0']", True,True,-164.8051300048828,-165.54489135742188
16,"triangle,blue,2",False,3,3,16,hg74,2,"[' False', ' True', ' None', '\n', ' 0']", False,False,-171.6099853515625,-171.50006103515625
17,"rectangle,green,2",False,4,0,17,hg74,2,"[' False', ' True', ' None', ' 0', ' false']", False,False,-187.30831909179688,-184.25112915039062
18,"triangle,green,3",True,4,1,18,hg74,2,"[' False', ' True', ' 0', ' None', ' false']", False,False,-198.5026397705078,-197.32083129882812
19,"triangle,blue,3",False,4,2,19,hg74,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,-5.993839263916016,-7.897082328796387
20,"triangle,green,1",True,4,3,20,hg74,2,"[' False', ' True', ' None', '\n', ' 0']", False,False,-182.23178100585938,-181.57293701171875
21,"circle,yellow,3",False,5,0,21,hg74,2,"[' 0', ' #', '\n', ' True', ' 2']", 0,True,-185.92747497558594,-186.79852294921875
22,"rectangle,green,3",False,5,1,22,hg74,2,"[' True', ' False', ' 0', ' None', ' #']", True,True,-170.77830505371094,-171.03424072265625
23,"rectangle,blue,2",True,5,2,23,hg74,2,"[' False', ' True', ' None', ' 0', ' Big']", False,False,-171.54173278808594,-171.1163787841797
24,"triangle,blue,2",False,5,3,24,hg74,2,"[' True', ' False', ' None', ' 0', ' Real']", True,True,-155.34197998046875,-156.5011749267578
25,"rectangle,blue,2",False,6,0,25,hg74,2,"[' False', ' True', ' None', ' 0', ' Big']", False,False,-189.23947143554688,-189.20089721679688
26,"circle,yellow,2",True,7,0,26,hg74,2,"[' False', ' True', ' 0', ' No', ' 2']", False,False,-195.12501525878906,-194.95791625976562
27,"circle,blue,2",False,7,1,27,hg74,2,"[' True', ' False', ' 0', ' None', ' 2']", True,True,-178.5416717529297,-183.45452880859375
28,"triangle,yellow,2",True,7,2,28,hg74,2,"[' True', ' False', ' 0', ' None', ' 2']", True,True,-177.3179168701172,-178.60498046875
29,"triangle,green,1",False,7,3,29,hg74,2,"[' True', ' False', ' None', ' 0', ' Hor']", True,True,-180.2198028564453,-182.40708923339844
30,"circle,yellow,1",False,8,0,30,hg74,2,"[' True', ' False', ' 0', ' 1', ' Big']", True,True,-196.1455841064453,-199.644775390625
31,"rectangle,green,3",False,8,1,31,hg74,2,"[' False', ' True', ' 0', ' None', ' No']", False,False,-191.667236328125,-190.3838348388672
32,"rectangle,yellow,1",True,8,2,32,hg74,2,"[' False', ' True', ' 0', ' None', ' Zero']", False,False,-187.02833557128906,-186.240234375
33,"triangle,green,3",True,9,0,33,hg74,2,"[' False', ' True', ' None', ' 0', ' Big']", False,False,-181.49624633789062,-179.96237182617188
34,"circle,green,3",False,9,1,34,hg74,2,"[' False', ' True', ' 0', ' None', ' Zero']", False,False,-184.04510498046875,-183.7677764892578
35,"triangle,yellow,3",False,9,2,35,hg74,2,"[' True', ' False', ' true', ' 0', ' None']", True,True,-192.61915588378906,-196.5620880126953
36,"rectangle,blue,3",False,9,3,36,hg74,2,"[' True', ' False', ' None', ' 0', ' Zero']", True,True,-172.54647827148438,-174.08651733398438
