,concept,listnum,first_quarter_sd,first_quarter_se,first_quarter_mean,overall_mean,overall_se,overall_sd,last_quarter_se,last_quarter_mean,last_quarter_firstquartile,last_quarter_firstdecile,last_quarter_firstquintile,last_quarter_median,last_quarter_thirdquartile,last_quarter_firstpercentile,last_quarter_fifthpercentile,last_quarter_sd
0,hg01,L1,0.040786223998464585,0.026111648393354676,0.75,0.9212988442487616,0.012120371791714496,0.056849582866777,0.00869565217391304,0.991304347826087,1.0,1.0,1.0,1.0,1.0,0.8440000000000001,1.0,0.040786223998464585
1,hg01,L2,0.01301868095157909,0.01359628399269722,0.7982954545454546,0.9458874458874459,0.004388717554327729,0.02011163039648829,0.0028409090909090906,0.9971590909090909,1.0,1.0,1.0,1.0,1.0,0.950625,1.0,0.01301868095157909
2,hg02,L1,0.12798289660512185,0.030098275601752652,0.7574370709382151,0.895308924485126,0.025556958504426467,0.11987276094231532,0.027286045237478004,0.9473684210526315,1.0,0.8526315789473684,0.968421052631579,1.0,1.0,0.5378947368421052,0.6052631578947368,0.12798289660512185
3,hg02,L2,0.1741228014936585,0.04521876648146501,0.6699999999999999,0.8641025641025643,0.034606636571404725,0.1508468315905921,0.03994651028826582,0.9324999999999999,1.0,0.835,0.9700000000000001,1.0,1.0,0.3355,0.6775,0.1741228014936585
4,hg03,L1,0.11411263827848356,0.025215521228451946,0.825,0.9090909090909091,0.021338237635529216,0.09778408916176817,0.024901419174393626,0.9431818181818182,0.9624999999999999,0.805,0.91,1.0,1.0,0.6105,0.6575000000000001,0.11411263827848356
5,hg03,L2,0.0213160044326853,0.019159403245722614,0.8198757763975157,0.950689289501591,0.0052269797985793455,0.024516708423535257,0.004544587414887874,0.9937888198757764,1.0,1.0,1.0,1.0,1.0,0.9152380952380953,0.9571428571428572,0.0213160044326853
6,hg04,L1,0.08316442937969087,0.02366487055328236,0.8409090909090908,0.9290697674418602,0.013201374178787723,0.05754345596120293,0.01907922859806829,0.975,1.0,0.9863636363636363,1.0,1.0,1.0,0.6795454545454546,0.8522727272727273,0.08316442937969087
7,hg04,L2,0.11922294579911995,0.0218276327668194,0.8106060606060607,0.9175324675324673,0.02514964169899774,0.11525013678667494,0.026016579700004025,0.9671717171717172,1.0,1.0,1.0,1.0,1.0,0.5261111111111111,0.8416666666666667,0.11922294579911995
8,hg05,L1,0.12470395502002832,0.028505214279472963,0.7142857142857143,0.8816137566137566,0.028730664196981982,0.12848743636634224,0.027884652048785947,0.9576719576719577,1.0,0.8333333333333334,1.0,1.0,1.0,0.5222222222222223,0.8333333333333334,0.12470395502002832
9,hg05,L2,0.09501807276770548,0.017409017444606677,0.8152173913043478,0.9232209737827715,0.01516336174076583,0.0727209282357588,0.019812637767990603,0.9619565217391305,0.9565217391304348,0.9260869565217392,0.9565217391304348,1.0,1.0,0.6152173913043478,0.8021739130434783,0.09501807276770548
10,hg06,L1,0.16669085497132197,0.025488740530932554,0.5991735537190084,0.8160676532769556,0.030058552245356845,0.13774559094513256,0.03637492669347566,0.9194214876033058,0.9545454545454546,0.7454545454545455,0.9181818181818182,1.0,1.0,0.3922727272727272,0.5113636363636364,0.16669085497132197
11,hg06,L2,0.16366548021494529,0.028503066769390874,0.7130434782608696,0.8249721293199552,0.027589029902397016,0.1294040206524428,0.03489359762451132,0.8869565217391304,0.825,0.63,0.77,1.0,1.0,0.444,0.6,0.16366548021494529
12,hg07,L1,0.16048413638204337,0.03662851034671215,0.6746031746031745,0.8551587301587301,0.03238242747444178,0.14481861821861733,0.03588534382605962,0.9338624338624338,1.0,0.7777777777777778,1.0,1.0,1.0,0.4222222222222222,0.5555555555555556,0.16048413638204337
13,hg07,L2,0.11510415692818728,0.028373354146131034,0.765909090909091,0.8927738927738926,0.025842055967415706,0.11842317758396775,0.025117786282261613,0.9568181818181819,1.0,0.905,1.0,1.0,1.0,0.6,0.615,0.11510415692818728
14,hg08,L1,0.09309866317149945,0.024852561658679315,0.7577639751552796,0.9024390243902438,0.023153854838946945,0.10860120563726072,0.01984870167991337,0.9627329192546583,1.0,0.8666666666666666,1.0,1.0,1.0,0.6504761904761904,0.7714285714285714,0.09309866317149945
15,hg08,L2,0.16595821265361876,0.028684257179275197,0.725877192982456,0.875,0.026684602777244344,0.12797485918618653,0.03460467946942873,0.9407894736842106,1.0,0.7789473684210527,1.0,1.0,1.0,0.3763157894736842,0.5947368421052632,0.16595821265361876
16,hg09,L1,0.15978667447564887,0.031065928589382116,0.7394957983193278,0.8564213564213565,0.031290181174769456,0.13993394427013747,0.035729386602618145,0.9187675070028011,1.0,0.7058823529411765,0.8235294117647058,1.0,1.0,0.48235294117647054,0.5294117647058824,0.15978667447564887
17,hg09,L2,0.18297065576087665,0.029481105649341123,0.7391304347826086,0.8862876254180602,0.029165232422647146,0.1367970657940974,0.0390094748802747,0.9500000000000001,1.0,0.95,0.97,1.0,1.0,0.276,0.905,0.18297065576087665
18,hg10,L1,0.03751034974209465,0.031031172229135328,0.7894736842105262,0.9204260651629073,0.01295190228947081,0.05792266791438378,0.008387569188311534,0.9824561403508772,1.0,0.9473684210526316,0.9473684210526316,1.0,1.0,0.8631578947368421,0.9473684210526316,0.03751034974209465
19,hg10,L2,0.010733216841701199,0.01807108706510006,0.7139588100686499,0.9106611078022632,0.0069897119356735335,0.032784655019709064,0.002288329519450798,0.9977116704805491,1.0,1.0,1.0,1.0,1.0,0.9589473684210527,1.0,0.010733216841701199
20,hg100,L1,0.18631829264148894,0.03111528794017082,0.5111111111111111,0.7500000000000001,0.033988372308804866,0.1481518801495166,0.04274434783985727,0.8638888888888889,0.7777777777777778,0.55,0.7444444444444445,1.0,1.0,0.45499999999999996,0.49722222222222223,0.18631829264148894
21,hg100,L2,0.1687739461136146,0.02829575017380093,0.47883597883597884,0.7108843537414967,0.029769192499375596,0.1331318761277614,0.03773900163409287,0.8386243386243386,0.7222222222222222,0.5555555555555556,0.7222222222222222,0.8888888888888888,1.0,0.5,0.5,0.1687739461136146
22,hg101,L1,0.15841945580041442,0.023070934834911377,0.49043062200956933,0.5586124401913876,0.025545916691217307,0.11706609693453915,0.03456995941710047,0.7057416267942584,0.5789473684210527,0.5263157894736842,0.5789473684210527,0.6842105263157895,0.7763157894736842,0.4847368421052631,0.5263157894736842,0.15841945580041442
23,hg101,L2,0.16066640121804918,0.01623510229123393,0.5808080808080809,0.6577922077922076,0.021215749440439927,0.09722277773603298,0.03506028310561216,0.6666666666666667,0.5555555555555556,0.5,0.5111111111111111,0.6388888888888888,0.8055555555555556,0.4444444444444444,0.4472222222222222,0.16066640121804918
24,hg102,L1,0.15281071217867287,0.016475694864243266,0.6411483253588517,0.6163636363636363,0.020099451018887517,0.09210725572110934,0.03334603121708946,0.7081339712918661,0.631578947368421,0.5263157894736842,0.5473684210526316,0.6842105263157895,0.7894736842105263,0.4736842105263157,0.47631578947368414,0.15281071217867287
25,hg102,L2,0.21358993356949718,0.020393916635820408,0.4458333333333333,0.5485232067510548,0.021787455566739628,0.1044889662197451,0.04453657984673323,0.6104166666666667,0.45,0.35,0.43000000000000005,0.55,0.7625,0.2615,0.3075,0.21358993356949718
26,hg103,L1,0.27592096935025895,0.0329900238368701,0.46320346320346306,0.5620155038759689,0.03246836750900831,0.1452029537371762,0.061697804388481506,0.6255411255411255,0.4090909090909091,0.2727272727272727,0.4090909090909091,0.5454545454545454,1.0,0.15454545454545449,0.2272727272727272,0.27592096935025895
27,hg103,L2,0.2490912031937855,0.019060274265061187,0.5717703349282297,0.574719800747198,0.02700118843537039,0.12373498985885106,0.05435615683729276,0.562200956937799,0.381578947368421,0.3157894736842105,0.3263157894736842,0.5263157894736842,0.618421052631579,0.16894736842105257,0.21578947368421045,0.2490912031937855
