,obj,label,set,item_in_set,item_num,concept,listnum,top_ans,mass_ans,true_mass,false_mass
0,"circle,green,3",False,0,0,0,hg90,2, False,False,-0.74121094,-0.66308594
1,"triangle,green,1",False,0,1,1,hg90,2, True,False,-0.7866211,-0.6147461
2,"rectangle,blue,2",False,0,2,2,hg90,2, False,True,-0.48999023,-0.9584961
3,"triangle,blue,3",False,1,0,3,hg90,2, True,False,-0.7314453,-0.6689453
4,"rectangle,blue,3",False,1,1,4,hg90,2, False,False,-0.8823242,-0.5385742
5,"circle,yellow,2",False,1,2,5,hg90,2, True,False,-0.99658203,-0.46533203
6,"triangle,green,1",False,2,0,6,hg90,2, True,False,-1.078125,-0.42211914
7,"rectangle,blue,1",False,2,1,7,hg90,2, False,False,-1.8193359,-0.17858887
8,"rectangle,yellow,3",True,2,2,8,hg90,2, False,False,-1.5537109,-0.24121094
9,"rectangle,yellow,2",True,3,0,9,hg90,2, True,False,-0.96728516,-0.48291016
10,"rectangle,blue,1",False,3,1,10,hg90,2, True,False,-1.2363281,-0.34594727
11,"triangle,blue,1",False,4,0,11,hg90,2, False,False,-1.5654297,-0.23693848
12,"circle,yellow,1",False,4,1,12,hg90,2, False,False,-1.6386719,-0.21716309
13,"rectangle,green,2",False,4,2,13,hg90,2, False,False,-1.2470703,-0.3408203
14,"circle,yellow,2",False,5,0,14,hg90,2, False,False,-1.015625,-0.453125
15,"triangle,green,1",False,5,1,15,hg90,2, False,False,-1.7285156,-0.19702148
16,"triangle,yellow,1",True,5,2,16,hg90,2, True,False,-1.8583984,-0.17102051
17,"triangle,yellow,2",True,5,3,17,hg90,2, False,False,-1.2587891,-0.33666992
18,"triangle,green,3",False,6,0,18,hg90,2, True,False,-1.3261719,-0.31103516
19,"circle,yellow,3",False,6,1,19,hg90,2, False,False,-1.7275391,-0.19665527
20,"rectangle,green,3",True,6,2,20,hg90,2, True,False,-1.7792969,-0.18591309
21,"rectangle,blue,1",True,6,3,21,hg90,2, False,False,-1.4912109,-0.2565918
22,"rectangle,green,2",True,6,4,22,hg90,2, False,True,-0.6791992,-0.7104492
23,"circle,blue,1",False,7,0,23,hg90,2, False,False,-0.8779297,-0.5498047
24,"rectangle,blue,3",False,8,0,24,hg90,2, False,False,-1.1171875,-0.39819336
25,"triangle,green,2",False,8,1,25,hg90,2, False,False,-1.6767578,-0.20812988
26,"triangle,blue,3",False,9,0,26,hg90,2, False,False,-1.3955078,-0.28588867
27,"circle,blue,2",False,9,1,27,hg90,2, False,False,-1.7402344,-0.19360352
28,"rectangle,green,1",False,9,2,28,hg90,2, False,False,-1.2685547,-0.33129883
29,"triangle,yellow,3",True,9,3,29,hg90,2, False,False,-0.8095703,-0.5908203
30,"triangle,blue,1",False,10,0,30,hg90,2, True,False,-1.4306641,-0.27441406
31,"circle,yellow,3",True,10,1,31,hg90,2, False,False,-1.3603516,-0.29736328
32,"circle,blue,1",False,10,2,32,hg90,2, False,False,-0.96533203,-0.4807129
33,"rectangle,yellow,1",False,11,0,33,hg90,2, False,False,-1.3720703,-0.29370117
34,"circle,blue,1",True,11,1,34,hg90,2, False,False,-1.5761719,-0.23242188
35,"circle,green,3",True,11,2,35,hg90,2, False,False,-0.8989258,-0.5239258
36,"triangle,yellow,2",True,12,0,36,hg90,2, False,False,-1.1914062,-0.36328125
37,"circle,blue,3",False,12,1,37,hg90,2, False,False,-1.0849609,-0.41333008
38,"triangle,blue,1",False,12,2,38,hg90,2, False,False,-1.2460938,-0.3400879
39,"rectangle,blue,2",False,13,0,39,hg90,2, True,False,-1.2578125,-0.33642578
40,"circle,blue,3",False,14,0,40,hg90,2, True,False,-0.93652344,-0.49902344
41,"rectangle,yellow,1",True,15,0,41,hg90,2, False,False,-1.2353516,-0.3449707
42,"triangle,yellow,1",False,15,1,42,hg90,2, True,True,-0.54345703,-0.87158203
43,"circle,blue,2",True,15,2,43,hg90,2, True,False,-1.0957031,-0.40795898
44,"rectangle,green,1",False,15,3,44,hg90,2, False,False,-0.80908203,-0.59033203
45,"circle,green,2",True,15,4,45,hg90,2, True,False,-0.93652344,-0.4987793
46,"rectangle,green,3",True,16,0,46,hg90,2, True,False,-1.3369141,-0.30566406
47,"rectangle,blue,3",True,16,1,47,hg90,2, True,False,-0.82666016,-0.57666016
48,"rectangle,blue,2",True,17,0,48,hg90,2, False,False,-1.0244141,-0.44604492
49,"circle,green,2",False,17,1,49,hg90,2, True,True,-0.68603516,-0.70166016
50,"rectangle,green,2",True,17,2,50,hg90,2, True,False,-1.0546875,-0.42919922
51,"triangle,blue,3",True,17,3,51,hg90,2, False,False,-1.0751953,-0.41845703
52,"triangle,blue,1",True,17,4,52,hg90,2, True,False,-0.9941406,-0.46313477
53,"triangle,yellow,1",False,18,0,53,hg90,2, False,False,-1.1064453,-0.40283203
54,"rectangle,yellow,1",True,18,1,54,hg90,2, True,False,-1.0546875,-0.42919922
55,"rectangle,blue,2",False,18,2,55,hg90,2, False,True,-0.48046875,-0.96484375
56,"rectangle,blue,3",True,19,0,56,hg90,2, True,True,-0.49902344,-0.93652344
57,"triangle,blue,3",True,19,1,57,hg90,2, False,True,-0.48657227,-0.9555664
58,"rectangle,yellow,2",True,19,2,58,hg90,2, True,True,-0.67822266,-0.70947266
59,"triangle,blue,1",True,19,3,59,hg90,2, True,True,-0.38256836,-1.1484375
60,"rectangle,green,1",True,19,4,60,hg90,2, True,True,-0.20495605,-1.6894531
61,"circle,green,3",True,20,0,61,hg90,2, False,True,-0.66308594,-0.72558594
62,"circle,green,1",True,20,1,62,hg90,2, True,True,-0.66308594,-0.72558594
63,"triangle,yellow,3",False,20,2,63,hg90,2, False,True,-0.42944336,-1.0546875
64,"rectangle,yellow,3",False,20,3,64,hg90,2, False,False,-1.4306641,-0.27416992
65,"circle,green,1",False,21,0,65,hg90,2, True,False,-0.8803711,-0.5366211
66,"triangle,yellow,1",False,21,1,66,hg90,2, False,False,-1.5761719,-0.2322998
67,"rectangle,yellow,2",False,21,2,67,hg90,2, True,False,-1.0957031,-0.40771484
68,"triangle,yellow,3",False,22,0,68,hg90,2, False,False,-1.4667969,-0.2631836
69,"triangle,blue,2",False,23,0,69,hg90,2, False,False,-1.9238281,-0.1583252
70,"rectangle,blue,3",False,24,0,70,hg90,2, True,True,-0.51123047,-0.91748047
71,"triangle,yellow,3",False,24,1,71,hg90,2, False,False,-1.2236328,-0.34887695
