,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,rule_expression,manual_code,object,concept_num,set,data_answer,model_answer,to_annotate
314.0,blue and same shape as another object,False,0.0,1.0,0.0,13.0,12.0,0.4643228591688739,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large blue triangle,hg62,1.0,False,False,True
315.0,blue and same shape as another object,False,1.0,2.0,0.0,11.0,13.0,0.3661835874714825,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow rectangle,hg62,2.0,False,False,True
316.0,blue and same shape as another object,False,2.0,2.0,0.0,8.0,16.0,0.2788668457171752,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,hg62,2.0,False,False,True
317.0,blue and same shape as another object,False,3.0,3.0,1.0,10.0,14.0,0.2564041234860497,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,hg62,3.0,True,False,True
318.0,blue and same shape as another object,False,4.0,3.0,0.0,8.0,16.0,0.1564576059702176,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow rectangle,hg62,3.0,False,False,True
319.0,blue and same shape as another object,False,5.0,3.0,0.0,8.0,16.0,0.163783815421425,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow rectangle,hg62,3.0,False,False,True
320.0,blue and same shape as another object,False,6.0,3.0,0.0,7.0,17.0,0.2745512139332504,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,hg62,3.0,False,False,True
321.0,blue and same shape as another object,False,7.0,3.0,0.0,9.0,15.0,0.3862535080074849,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green circle,hg62,3.0,False,False,True
322.0,blue and same shape as another object,False,8.0,4.0,0.0,7.0,17.0,0.1808026601833035,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,hg62,4.0,False,False,True
323.0,blue and same shape as another object,False,9.0,4.0,0.0,8.0,16.0,0.4353082508287116,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue circle,hg62,4.0,False,False,True
324.0,blue and same shape as another object,False,10.0,5.0,0.0,4.0,20.0,0.1489035624407506,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,hg62,5.0,False,False,True
325.0,blue and same shape as another object,False,11.0,5.0,0.0,4.0,20.0,0.2190658209166258,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green circle,hg62,5.0,False,False,True
326.0,blue and same shape as another object,False,12.0,5.0,0.0,11.0,13.0,0.237070554275192,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue rectangle,hg62,5.0,False,False,True
327.0,blue and same shape as another object,False,13.0,5.0,1.0,6.0,18.0,0.262013889188438,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,hg62,5.0,True,False,True
328.0,blue and same shape as another object,False,14.0,6.0,0.0,4.0,19.0,0.2009453599396238,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,hg62,6.0,False,False,True
329.0,blue and same shape as another object,False,15.0,6.0,0.0,6.0,17.0,0.2311841434423058,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,hg62,6.0,False,False,True
