,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,sampled_ans,true_raw_mass,false_raw_mass,true_norm_mass,false_norm_mass
0,"triangle,yellow,2",False,0,0,0,hg72,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.0953463762998581,0.9046212434768677,0.09534946084022522,0.9046505093574524
1,"triangle,green,2",False,1,0,1,hg72,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.14804546535015106,0.8519428968429565,0.14804717898368835,0.8519527912139893
2,"rectangle,blue,1",False,1,1,2,hg72,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.8807842135429382,0.1192011758685112,0.8807970881462097,0.11920291930437088
3,"rectangle,yellow,3",False,2,0,3,hg72,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.09534859657287598,0.9046423435211182,0.09534946084022522,0.9046505689620972
4,"triangle,green,2",False,2,1,4,hg72,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.07585766166448593,0.9241355061531067,0.07585818320512772,0.9241418242454529
5,"circle,green,2",True,3,0,5,hg72,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.14804568886756897,0.8519442081451416,0.14804719388484955,0.851952850818634
6,"circle,blue,1",False,3,1,6,hg72,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.3775355815887451,0.6224509477615356,0.3775406777858734,0.622459352016449
7,"triangle,green,1",False,3,2,7,hg72,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.1480453610420227,0.8519423007965088,0.14804719388484955,0.8519527912139893
8,"triangle,green,1",True,4,0,8,hg72,2,"[' False', ' True', ' false', ' None', 'False']", False,False,1,0.0953487902879715,0.9046441912651062,0.09534946084022522,0.9046505689620972
9,"rectangle,green,1",False,4,1,9,hg72,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.3208162188529968,0.6791679263114929,0.3208213150501251,0.6791787147521973
10,"triangle,blue,3",False,4,2,10,hg72,2,"[' False', ' True', ' false', ' None', 'True']", False,False,0,0.37753376364707947,0.6224479079246521,0.3775407075881958,0.622459352016449
11,"rectangle,yellow,2",False,4,3,11,hg72,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.11920174211263657,0.8807883262634277,0.11920292675495148,0.8807970881462097
12,"circle,green,3",False,4,4,12,hg72,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.14804485440254211,0.85193932056427,0.14804720878601074,0.851952850818634
13,"triangle,green,1",False,5,0,13,hg72,2,"[' True', ' False', 'True', ' true', ' false']", True,True,1,0.6224478483200073,0.3775337040424347,0.622459352016449,0.3775406777858734
14,"circle,yellow,3",True,5,1,14,hg72,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.14804565906524658,0.8519440293312073,0.14804717898368835,0.8519527912139893
15,"circle,blue,1",False,5,2,15,hg72,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.18242307007312775,0.8175634145736694,0.18242554366588593,0.8175745010375977
