,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,sampled_ans,true_raw_mass,false_raw_mass,true_norm_mass,false_norm_mass
0,"triangle,yellow,2",True,0,0,0,hg01,2,"[' True', ' False', 'True', ' None', ' false']", True,True,0,0.5621675252914429,0.4378165006637573,0.562176525592804,0.43782350420951843
1,"circle,yellow,1",True,1,0,1,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.8175625801086426,0.18242287635803223,0.8175744414329529,0.18242552876472473
2,"triangle,green,2",True,2,0,2,hg01,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.18242251873016357,0.8175609707832336,0.18242552876472473,0.8175744414329529
3,"circle,yellow,3",True,2,1,3,hg01,2,"[' True', ' False', 'True', ' None', ' true']", True,True,1,0.8175662755966187,0.18242371082305908,0.8175744414329529,0.18242554366588593
4,"rectangle,green,1",True,2,2,4,hg01,2,"[' False', ' True', ' false', ' None', 'True']", False,False,1,0.37753525376319885,0.6224504113197327,0.377540647983551,0.6224592924118042
5,"triangle,yellow,3",True,2,3,5,hg01,2,"[' True', ' False', 'True', ' None', ' true']", True,True,1,0.6791695356369019,0.3208169937133789,0.6791786551475525,0.3208213150501251
6,"circle,green,1",True,3,0,6,hg01,2,"[' True', ' False', 'True', ' true', ' None']", True,True,1,0.7772902846336365,0.2226974070072174,0.7772998213768005,0.22270014882087708
7,"rectangle,blue,2",True,3,1,7,hg01,2,"[' False', ' True', ' None', 'True', ' false']", False,False,1,0.43781450390815735,0.5621649622917175,0.43782347440719604,0.5621764659881592
8,"circle,yellow,1",True,3,2,8,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.9241335391998291,0.0758575052022934,0.9241418242454529,0.07585818320512772
9,"triangle,yellow,2",True,3,3,9,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9046424031257629,0.09534860402345657,0.9046505689620972,0.09534946084022522
10,"circle,green,1",True,4,0,10,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.939898669719696,0.060085710138082504,0.9399133324623108,0.06008664891123772
11,"triangle,blue,2",True,5,0,11,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.8807879090309143,0.1192016750574112,0.8807970881462097,0.11920291930437088
12,"circle,blue,2",True,5,1,12,hg01,2,"[' True', ' False', 'True', ' true', ' None']", True,True,0,0.777288556098938,0.222696915268898,0.7772998809814453,0.22270014882087708
13,"triangle,green,3",True,5,2,13,hg01,2,"[' True', ' False', 'True', ' true', ' None']", True,True,1,0.8807865977287292,0.11920150369405746,0.8807970881462097,0.11920292675495148
14,"triangle,blue,3",True,6,0,14,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.9399045705795288,0.06008608639240265,0.9399133920669556,0.06008664891123772
15,"triangle,blue,1",True,7,0,15,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.952564537525177,0.047425393015146255,0.9525741338729858,0.04742586985230446
16,"rectangle,yellow,1",True,7,1,16,hg01,2,"[' True', ' False', 'True', ' None', ' TRUE']", True,True,1,0.8519401550292969,0.14804498851299286,0.8519527912139893,0.14804717898368835
17,"triangle,blue,1",True,8,0,17,hg01,2,"[' True', ' False', 'True', ' TRUE', '  ']", True,True,1,0.9980731010437012,0.0019267344614490867,0.9980732798576355,0.0019267348106950521
18,"triangle,green,3",True,9,0,18,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9770163893699646,0.022977223619818687,0.977022647857666,0.022977370768785477
19,"triangle,blue,2",True,9,1,19,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9706818461418152,0.029312051832675934,0.970687747001648,0.02931223064661026
20,"circle,green,3",True,10,0,20,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.9046385288238525,0.09534819424152374,0.9046505689620972,0.09534946084022522
21,"triangle,blue,1",True,10,1,21,hg01,2,"[' True', ' False', 'True', ' None', ' TRUE']", True,True,1,0.9399051070213318,0.060086119920015335,0.9399133324623108,0.06008664518594742
22,"rectangle,yellow,3",True,10,2,22,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9399038553237915,0.06008604168891907,0.9399133920669556,0.06008664891123772
23,"triangle,blue,1",True,11,0,23,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9997965693473816,0.00020342697098385543,0.9997965693473816,0.00020342697098385543
24,"rectangle,yellow,1",True,11,1,24,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9995119571685791,0.0004878570616710931,0.9995121359825134,0.0004878571489825845
25,"rectangle,yellow,1",True,12,0,25,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9859350919723511,0.014063608832657337,0.9859364032745361,0.01406362745910883
26,"triangle,blue,2",True,12,1,26,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9626688957214355,0.03732672333717346,0.9626731276512146,0.037326887249946594
27,"circle,blue,2",True,12,2,27,hg01,2,"[' True', ' False', 'True', ' TRUE', '  ']", True,True,1,0.9859338402748108,0.014063590206205845,0.9859363436698914,0.014063626527786255
28,"circle,green,1",True,12,3,28,hg01,2,"[' True', ' False', 'True', ' true', ' TRUE']", True,True,1,0.9626632332801819,0.03732650354504585,0.9626731276512146,0.037326887249946594
29,"triangle,blue,1",True,13,0,29,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9996199607849121,0.0003799845289904624,0.9996200203895569,0.0003799845580942929
30,"triangle,yellow,1",True,13,1,30,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9626651406288147,0.03732657805085182,0.9626731276512146,0.037326887249946594
31,"rectangle,green,2",True,13,2,31,hg01,2,"[' True', ' False', 'True', ' None', ' TRUE']", True,True,0,0.9399048089981079,0.06008610129356384,0.9399133324623108,0.06008664518594742
32,"circle,green,3",True,13,3,32,hg01,2,"[' True', ' False', 'True', ' TRUE', '  ']", True,True,1,0.9947798252105713,0.005220125429332256,0.9947798848152161,0.005220125894993544
33,"rectangle,blue,1",True,13,4,33,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9525676369667053,0.04742554947733879,0.9525741338729858,0.04742587357759476
34,"triangle,green,3",True,14,0,34,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9859353303909302,0.014063611626625061,0.9859364032745361,0.014063626527786255
35,"triangle,green,1",True,14,1,35,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9706817269325256,0.029312048107385635,0.970687747001648,0.02931223064661026
36,"rectangle,green,3",True,15,0,36,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,0,0.9626672267913818,0.03732666000723839,0.9626731276512146,0.03732689097523689
37,"rectangle,green,3",True,16,0,37,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9984985589981079,0.001501181861385703,0.998498797416687,0.0015011822106316686
38,"circle,yellow,1",True,16,1,38,hg01,2,"[' True', ' False', 'True', ' TRUE', ' true']", True,True,1,0.9820090532302856,0.017986124381422997,0.9820138216018677,0.01798621192574501
39,"triangle,yellow,2",True,17,0,39,hg01,2,"[' True', ' False', 'True', ' Tru', ' TRUE']", True,True,1,0.9999374151229858,6.253713218029588e-05,0.9999374747276306,6.25371394562535e-05
40,"triangle,green,1",True,17,1,40,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9980731010437012,0.0019267344614490867,0.9980732798576355,0.0019267348106950521
41,"circle,blue,3",True,18,0,41,hg01,2,"[' True', ' False', 'True', ' TRUE', '  ']", True,True,1,0.9914221167564392,0.008577481843531132,0.9914225339889526,0.00857748556882143
42,"circle,green,2",True,18,1,42,hg01,2,"[' True', ' False', 'True', ' TRUE', ' Tru']", True,True,1,0.9988304972648621,0.0011695101857185364,0.9988304972648621,0.0011695101857185364
43,"rectangle,green,2",True,18,2,43,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9997387528419495,0.00026119028916582465,0.9997388124465942,0.0002611903182696551
44,"rectangle,blue,1",True,18,3,44,hg01,2,"[' True', ' False', 'True', ' Tru', ' TRUE']", True,True,1,0.9998726844787598,0.00012731103925034404,0.9998726844787598,0.00012731103925034404
45,"triangle,blue,2",True,18,4,45,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9996199607849121,0.0003799845289904624,0.9996200203895569,0.0003799845580942929
46,"rectangle,green,2",True,19,0,46,hg01,2,"[' True', ' False', 'True', ' Tru', ' Truth']", True,True,1,0.998830258846283,0.0011695099528878927,0.9988304972648621,0.0011695101857185364
47,"rectangle,blue,2",True,19,1,47,hg01,2,"[' True', ' False', 'True', ' Tru', ' TRUE']", True,True,1,0.9997965693473816,0.00020342697098385543,0.9997965693473816,0.00020342697098385543
48,"circle,green,3",True,19,2,48,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9988300204277039,0.001169509720057249,0.9988304972648621,0.0011695103021338582
49,"circle,yellow,2",True,19,3,49,hg01,2,"[' True', ' False', 'True', ' Tru', ' TRUE']", True,True,1,0.9999364614486694,6.352188938762993e-05,0.9999364614486694,6.352188938762993e-05
50,"circle,yellow,3",True,19,4,50,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9859333634376526,0.014063583686947823,0.9859363436698914,0.014063626527786255
51,"rectangle,blue,2",True,20,0,51,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9984983205795288,0.0015011815121397376,0.998498797416687,0.0015011822106316686
52,"triangle,yellow,1",True,20,1,52,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9525676369667053,0.04742554947733879,0.9525741338729858,0.04742587357759476
53,"circle,yellow,2",True,20,2,53,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.998298704624176,0.0017007215647026896,0.9982993006706238,0.001700722612440586
54,"triangle,blue,2",True,20,3,54,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9990887641906738,0.0009110510582104325,0.9990889430046082,0.0009110512328334153
55,"rectangle,yellow,3",True,20,4,55,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9992897510528564,0.0007096700137481093,0.9992903470993042,0.0007096704212017357
56,"rectangle,green,2",True,21,0,56,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9706836342811584,0.02931210584938526,0.970687747001648,0.02931223064661026
57,"rectangle,green,3",True,22,0,57,hg01,2,"[' True', ' False', 'True', ' Tru', ' Truth']", True,True,1,0.9990884065628052,0.000911050708964467,0.9990889430046082,0.0009110511746257544
58,"triangle,green,1",True,22,1,58,hg01,2,"[' True', ' False', 'True', ' TRUE', ' None']", True,True,1,0.9770182967185974,0.02297726832330227,0.9770225882530212,0.022977368906140327
59,"rectangle,yellow,1",True,23,0,59,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9984973669052124,0.0015011799987405539,0.998498797416687,0.0015011820942163467
60,"triangle,blue,3",True,23,1,60,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9997040629386902,0.0002959571429528296,0.9997040629386902,0.0002959571429528296
61,"triangle,blue,2",True,24,0,61,hg01,2,"[' True', ' False', 'True', ' Tru', ' Truth']", True,True,1,0.998967170715332,0.001032230444252491,0.9989677667617798,0.0010322310263291001
62,"triangle,yellow,2",True,24,1,62,hg01,2,"[' True', ' False', 'True', ' Tru', '  ']", True,True,1,0.9991945624351501,0.0008040848770178854,0.99919593334198,0.0008040859829634428
