,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,sampled_ans,true_raw_mass,false_raw_mass,true_norm_mass,false_norm_mass
0,"triangle,yellow,2",False,0,0,0,hg27,2,"[' False', ' True', ' false', ' true', ' None']", False,False,0,0.3208140730857849,0.6791633367538452,0.3208213150501251,0.6791786551475525
1,"circle,green,2",False,0,1,1,hg27,2,"[' False', ' True', ' true', ' false', ' None']", False,False,1,0.37753212451934814,0.6224452257156372,0.3775406777858734,0.622459352016449
2,"triangle,blue,2",False,0,2,2,hg27,2,"[' False', ' True', ' false', ' None', ' true']", False,False,0,0.26893678307533264,0.7310459017753601,0.2689414322376251,0.7310585379600525
3,"triangle,green,2",False,0,3,3,hg27,2,"[' False', ' True', ' false', ' None', ' true']", False,False,1,0.2226969301700592,0.7772886753082275,0.22270014882087708,0.7772998809814453
4,"triangle,yellow,3",False,1,0,4,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,1,0.1480453759431839,0.8519423604011536,0.14804719388484955,0.851952850818634
5,"triangle,green,1",False,1,1,5,hg27,2,"[' False', ' True', ' false', ' None', ' true']", False,False,1,0.18242274224758148,0.8175619840621948,0.18242552876472473,0.8175744414329529
6,"triangle,green,1",False,2,0,6,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.0373266264796257,0.9626664519309998,0.037326883524656296,0.9626731276512146
7,"triangle,blue,1",False,2,1,7,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.09534862637519836,0.9046425819396973,0.09534946829080582,0.9046505689620972
8,"triangle,blue,2",False,2,2,8,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,1,0.04742547869682312,0.9525662660598755,0.04742586985230446,0.9525740742683411
9,"triangle,blue,2",False,3,0,9,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.02297721616923809,0.977016031742096,0.022977370768785477,0.9770225882530212
10,"triangle,yellow,3",False,4,0,10,hg27,2,"[' False', ' True', 'False', ' None', ' FALSE']", False,False,0,0.0011695101857185364,0.9988304972648621,0.0011695101857185364,0.9988304972648621
11,"rectangle,blue,1",False,4,1,11,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.04742548614740372,0.952566385269165,0.04742586985230446,0.9525741338729858
12,"triangle,green,2",True,4,2,12,hg27,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.010986924171447754,0.989011287689209,0.01098694372922182,0.9890130758285522
13,"circle,yellow,2",True,4,3,13,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.1824229210615158,0.8175628185272217,0.18242551386356354,0.8175744414329529
14,"triangle,yellow,3",False,5,0,14,hg27,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.06008634343743324,0.9399085640907288,0.06008664891123772,0.9399133324623108
15,"triangle,green,1",False,5,1,15,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.11920196563005447,0.8807899951934814,0.11920292675495148,0.8807970881462097
16,"circle,blue,1",False,5,2,16,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.14804582297801971,0.8519449830055237,0.14804717898368835,0.8519527912139893
17,"circle,green,2",True,5,3,17,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.2226981371641159,0.7772928476333618,0.22270014882087708,0.7772998213768005
18,"triangle,green,2",True,5,4,18,hg27,2,"[' False', ' True', ' false', ' true', ' None']", False,False,0,0.3208170533180237,0.6791696548461914,0.3208213150501251,0.6791786551475525
19,"circle,blue,2",True,6,0,19,hg27,2,"[' False', ' True', ' false', ' None', 'True']", False,False,0,0.3208177387714386,0.679171085357666,0.3208213448524475,0.6791787147521973
20,"circle,green,3",False,6,1,20,hg27,2,"[' False', ' True', ' false', ' None', ' true']", False,False,0,0.37753573060035706,0.6224511861801147,0.3775406777858734,0.622459352016449
21,"rectangle,green,2",True,6,2,21,hg27,2,"[' True', ' False', ' None', ' true', 'True']", True,True,0,0.6224486231803894,0.3775341808795929,0.6224592924118042,0.377540647983551
22,"circle,green,1",False,6,3,22,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,1,0.09534883499145508,0.9046445488929749,0.09534946829080582,0.9046505093574524
23,"rectangle,green,1",False,7,0,23,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.09534875303506851,0.9046437740325928,0.09534946084022522,0.9046505093574524
24,"circle,blue,3",False,7,1,24,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.09534886479377747,0.9046448469161987,0.09534946829080582,0.9046505689620972
25,"rectangle,yellow,3",False,7,2,25,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.09534890204668045,0.9046452641487122,0.09534946084022522,0.9046505689620972
26,"triangle,yellow,3",False,8,0,26,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.06008639931678772,0.9399094581604004,0.06008664891123772,0.9399133920669556
27,"rectangle,yellow,3",False,8,1,27,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.06008637696504593,0.9399091005325317,0.06008664891123772,0.9399133324623108
28,"circle,green,1",False,8,2,28,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.04742563143372536,0.952569305896759,0.04742586985230446,0.9525741338729858
29,"triangle,green,3",False,8,3,29,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.11920177936553955,0.8807886242866516,0.11920292675495148,0.8807970881462097
30,"circle,green,3",False,9,0,30,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.060086335986852646,0.939908504486084,0.06008664891123772,0.9399133920669556
31,"circle,yellow,2",True,9,1,31,hg27,2,"[' True', ' False', ' None', 'True', ' true']", True,True,1,0.817562460899353,0.18242284655570984,0.8175744414329529,0.18242552876472473
32,"circle,yellow,3",False,9,2,32,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.07585763931274414,0.9241352081298828,0.07585818320512772,0.9241418242454529
33,"triangle,yellow,1",False,9,3,33,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,1,0.09534883499145508,0.9046445488929749,0.09534946829080582,0.9046505093574524
34,"circle,blue,2",True,9,4,34,hg27,2,"[' True', ' False', 'True', ' None', ' true']", True,True,1,0.9241315126419067,0.07585733383893967,0.9241418242454529,0.07585817575454712
35,"circle,green,2",True,10,0,35,hg27,2,"[' True', ' False', 'True', ' true', ' None']", True,True,1,0.9241300821304321,0.07585721462965012,0.9241418242454529,0.07585817575454712
36,"rectangle,yellow,2",True,10,1,36,hg27,2,"[' True', ' False', ' None', 'True', ' true']", True,True,1,0.7772899270057678,0.22269730269908905,0.7772998213768005,0.22270014882087708
37,"triangle,green,3",False,10,2,37,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.047425586730241776,0.9525684118270874,0.04742587357759476,0.9525741338729858
38,"rectangle,yellow,1",False,10,3,38,hg27,2,"[' False', ' True', ' None', 'False', ' false']", False,False,0,0.04742564260959625,0.9525694847106934,0.04742587357759476,0.9525741338729858
39,"rectangle,green,2",False,11,0,39,hg27,2,"[' True', ' False', 'True', ' None', ' true']", True,True,1,0.9046381115913391,0.09534815698862076,0.9046505093574524,0.09534946084022522
40,"rectangle,green,2",False,12,0,40,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.1480456292629242,0.851943850517273,0.14804717898368835,0.8519527912139893
41,"circle,green,2",False,13,0,41,hg27,2,"[' True', ' False', 'True', ' None', ' true']", True,True,1,0.9399022459983826,0.06008594110608101,0.9399133324623108,0.06008664891123772
42,"rectangle,blue,2",False,13,1,42,hg27,2,"[' True', ' False', 'True', ' None', ' TRUE']", True,True,1,0.6791690587997437,0.3208167552947998,0.6791787147521973,0.3208213150501251
43,"triangle,blue,1",False,14,0,43,hg27,2,"[' False', ' True', ' None', 'False', ' false']", False,False,0,0.03732671961188316,0.962668776512146,0.037326887249946594,0.9626731276512146
44,"circle,green,2",True,15,0,44,hg27,2,"[' True', ' False', ' None', 'True', ' true']", True,True,1,0.622449517250061,0.37753474712371826,0.6224592924118042,0.3775406777858734
45,"circle,blue,1",False,15,1,45,hg27,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.017986154183745384,0.9820107817649841,0.017986208200454712,0.9820137619972229
46,"circle,blue,3",False,15,2,46,hg27,2,"[' False', ' True', 'False', ' false', ' FALSE']", False,False,0,0.006692844443023205,0.9933062195777893,0.006692850962281227,0.9933071732521057
47,"triangle,blue,2",True,15,3,47,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.18242324888706207,0.8175642490386963,0.18242552876472473,0.8175745010375977
48,"rectangle,blue,2",False,16,0,48,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.2226976603269577,0.7772911787033081,0.22270014882087708,0.7772998213768005
49,"triangle,green,2",False,16,1,49,hg27,2,"[' True', ' False', ' true', 'True', ' false']", True,True,1,0.6791675090789795,0.3208160400390625,0.6791786551475525,0.3208213150501251
50,"triangle,yellow,3",False,16,2,50,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.037326693534851074,0.9626681208610535,0.037326887249946594,0.9626731276512146
51,"circle,green,2",False,17,0,51,hg27,2,"[' True', ' False', ' None', 'True', ' true']", True,True,1,0.6791682243347168,0.32081636786460876,0.6791786551475525,0.3208213150501251
52,"triangle,blue,2",False,17,1,52,hg27,2,"[' False', ' True', ' None', ' false', 'True']", False,False,0,0.4378166198730469,0.5621676445007324,0.43782350420951843,0.5621764659881592
53,"circle,green,1",False,18,0,53,hg27,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.017986157909035683,0.9820109009742737,0.01798621006309986,0.9820137619972229
54,"circle,green,3",False,18,1,54,hg27,2,"[' False', ' True', 'False', ' FALSE', ' false']", False,False,0,0.005220120307058096,0.9947788715362549,0.005220125429332256,0.9947798848152161
55,"triangle,yellow,1",False,19,0,55,hg27,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.022977301850914955,0.9770196676254272,0.022977370768785477,0.977022647857666
56,"triangle,green,1",False,20,0,56,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.029312072321772575,0.9706825017929077,0.02931223064661026,0.970687747001648
57,"circle,blue,1",False,20,1,57,hg27,2,"[' False', ' True', 'False', ' false', ' None']", False,False,0,0.010986917652189732,0.989010751247406,0.010986942797899246,0.9890130758285522
58,"rectangle,green,1",False,20,2,58,hg27,2,"[' False', ' True', 'False', ' None', ' false']", False,False,0,0.017986144870519638,0.9820101857185364,0.01798621192574501,0.9820138216018677
59,"circle,blue,3",False,20,3,59,hg27,2,"[' False', ' True', 'False', ' FALSE', ' None']", False,False,0,1.1478769010864198e-05,0.9999885559082031,1.1478769010864198e-05,0.9999885559082031
60,"triangle,blue,2",True,20,4,60,hg27,2,"[' True', ' False', ' None', ' false', ' true']", True,False,0,0.49999070167541504,0.49999070167541504,0.5,0.5
61,"rectangle,blue,2",True,21,0,61,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.06008617579936981,0.9399059414863586,0.06008664891123772,0.9399133324623108
62,"circle,blue,3",False,21,1,62,hg27,2,"[' False', ' True', 'False', ' None', ' false']", False,False,0,0.017986133694648743,0.9820095896720886,0.01798621006309986,0.9820138216018677
63,"triangle,yellow,1",False,21,2,63,hg27,2,"[' False', ' True', ' None', 'False', ' false']", False,False,0,0.02297728881239891,0.9770191311836243,0.022977370768785477,0.977022647857666
64,"rectangle,yellow,1",False,21,3,64,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.04742554947733879,0.9525676369667053,0.04742587357759476,0.9525741338729858
65,"triangle,blue,1",False,21,4,65,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.06008606031537056,0.9399041533470154,0.06008664891123772,0.9399133324623108
66,"rectangle,yellow,3",False,22,0,66,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.03732672706246376,0.9626689553260803,0.037326887249946594,0.9626730680465698
67,"circle,yellow,3",False,22,1,67,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.07585762441158295,0.9241350889205933,0.07585817575454712,0.9241418242454529
68,"circle,blue,3",False,22,2,68,hg27,2,"[' False', ' True', 'False', ' FALSE', ' false']", False,False,0,0.008577477186918259,0.9914215207099915,0.00857748556882143,0.9914225339889526
69,"circle,yellow,3",False,23,0,69,hg27,2,"[' False', ' True', ' false', 'False', ' None']", False,False,0,0.03732672706246376,0.9626689553260803,0.037326887249946594,0.9626730680465698
70,"triangle,blue,3",False,23,1,70,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.04742559418082237,0.952568531036377,0.04742587357759476,0.9525741338729858
71,"triangle,green,2",True,24,0,71,hg27,2,"[' False', ' True', ' false', ' None', 'False']", False,False,0,0.22269746661186218,0.7772905230522156,0.22270014882087708,0.7772998809814453
72,"rectangle,yellow,2",True,24,1,72,hg27,2,"[' True', ' False', 'True', ' None', ' true']", True,True,1,0.8519406318664551,0.14804507791996002,0.8519527912139893,0.14804719388484955
73,"triangle,green,1",False,24,2,73,hg27,2,"[' False', ' True', 'False', ' None', ' false']", False,False,0,0.01098692137748003,0.9890110492706299,0.01098694372922182,0.9890130758285522
74,"rectangle,yellow,3",False,24,3,74,hg27,2,"[' False', ' True', 'False', ' None', ' false']", False,False,0,0.02297729253768921,0.9770193696022034,0.022977368906140327,0.977022647857666
75,"circle,yellow,1",False,24,4,75,hg27,2,"[' False', ' True', ' None', ' false', 'False']", False,False,0,0.0474255345761776,0.9525673389434814,0.04742587357759476,0.9525741338729858
